seed,variant,snr_db,bler,n_blocks,kind,cond,params,auc_s2,ber_5db,sigma_post_std
1,full,0.0,1.0,1280,bler,,,,,
1,full,1.0,0.24140625,1280,bler,,,,,
1,full,3.0,0.0,1280,bler,,,,,
1,full,5.0,0.0,1280,bler,,,,,
1,no_pilot,0.0,1.0,1280,bler,,,,,
1,no_pilot,1.0,1.0,1280,bler,,,,,
1,no_pilot,3.0,1.0,1280,bler,,,,,
1,no_pilot,5.0,1.0,1280,bler,,,,,
1,pure_vfe,0.0,1.0,1280,bler,,,,,
1,pure_vfe,1.0,1.0,1280,bler,,,,,
1,pure_vfe,3.0,0.0859375,1280,bler,,,,,
1,pure_vfe,5.0,0.00234375,1280,bler,,,,,
1,no_detach,0.0,1.0,1280,bler,,,,,
1,no_detach,1.0,0.99921875,1280,bler,,,,,
1,no_detach,3.0,0.13515625,1280,bler,,,,,
1,no_detach,5.0,0.00546875,1280,bler,,,,,
1,no_freeze,0.0,1.0,1280,bler,,,,,
1,no_freeze,1.0,0.24609375,1280,bler,,,,,
1,no_freeze,3.0,0.0,1280,bler,,,,,
1,no_freeze,5.0,0.0,1280,bler,,,,,
2,full,0.0,1.0,1280,bler,,,,,
2,full,1.0,0.21484375,1280,bler,,,,,
2,full,3.0,0.0,1280,bler,,,,,
2,full,5.0,0.0,1280,bler,,,,,
2,no_detach,0.0,1.0,1280,bler,,,,,
2,no_detach,1.0,1.0,1280,bler,,,,,
2,no_detach,3.0,0.17109375,1280,bler,,,,,
2,no_detach,5.0,0.003125,1280,bler,,,,,
2,pure_vfe,0.0,1.0,1280,bler,,,,,
2,pure_vfe,1.0,1.0,1280,bler,,,,,
2,pure_vfe,3.0,0.06640625,1280,bler,,,,,
2,pure_vfe,5.0,0.00234375,1280,bler,,,,,
3,full,0.0,1.0,1280,bler,,,,,
3,full,1.0,0.21171875,1280,bler,,,,,
3,full,3.0,0.0,1280,bler,,,,,
3,full,5.0,0.0,1280,bler,,,,,
3,no_detach,0.0,1.0,1280,bler,,,,,
3,no_detach,1.0,0.99921875,1280,bler,,,,,
3,no_detach,3.0,0.203125,1280,bler,,,,,
3,no_detach,5.0,0.01484375,1280,bler,,,,,
3,pure_vfe,0.0,1.0,1280,bler,,,,,
3,pure_vfe,1.0,1.0,1280,bler,,,,,
3,pure_vfe,3.0,0.12734375,1280,bler,,,,,
3,pure_vfe,5.0,0.003125,1280,bler,,,,,
1,full,5.0,0.0,1280,shift,S1,,,,
1,full,5.0,0.0,1280,shift,DS600,,,,
1,full,5.0,0.0,1280,shift,DS1000,,,,
1,full,5.0,0.003125,1280,shift,S2,,,,
1,full,5.0,0.4078125,1280,shift,V250,,,,
1,no_pilot,5.0,1.0,1280,shift,S1,,,,
1,no_pilot,5.0,1.0,1280,shift,DS600,,,,
1,no_pilot,5.0,1.0,1280,shift,DS1000,,,,
1,no_pilot,5.0,1.0,1280,shift,S2,,,,
1,no_pilot,5.0,1.0,1280,shift,V250,,,,
1,pure_vfe,5.0,0.00078125,1280,shift,S1,,,,
1,pure_vfe,5.0,0.9453125,1280,shift,DS600,,,,
1,pure_vfe,5.0,0.99921875,1280,shift,DS1000,,,,
1,pure_vfe,5.0,1.0,1280,shift,S2,,,,
1,pure_vfe,5.0,0.4578125,1280,shift,V250,,,,
1,no_detach,5.0,0.00625,1280,shift,S1,,,,
1,no_detach,5.0,0.02421875,1280,shift,DS600,,,,
1,no_detach,5.0,0.0265625,1280,shift,DS1000,,,,
1,no_detach,5.0,0.04609375,1280,shift,S2,,,,
1,no_detach,5.0,0.44609375,1280,shift,V250,,,,
1,no_freeze,5.0,0.0,1280,shift,S1,,,,
1,no_freeze,5.0,0.0,1280,shift,DS600,,,,
1,no_freeze,5.0,0.0,1280,shift,DS1000,,,,
1,no_freeze,5.0,0.00625,1280,shift,S2,,,,
1,no_freeze,5.0,0.365625,1280,shift,V250,,,,
2,full,5.0,0.0,1280,shift,S1,,,,
2,full,5.0,0.00078125,1280,shift,DS600,,,,
2,full,5.0,0.00078125,1280,shift,DS1000,,,,
2,full,5.0,0.01171875,1280,shift,S2,,,,
2,full,5.0,0.384375,1280,shift,V250,,,,
2,no_detach,5.0,0.009375,1280,shift,S1,,,,
2,no_detach,5.0,0.0296875,1280,shift,DS600,,,,
2,no_detach,5.0,0.03671875,1280,shift,DS1000,,,,
2,no_detach,5.0,0.05234375,1280,shift,S2,,,,
2,no_detach,5.0,0.4171875,1280,shift,V250,,,,
2,pure_vfe,5.0,0.00078125,1280,shift,S1,,,,
2,pure_vfe,5.0,0.92734375,1280,shift,DS600,,,,
2,pure_vfe,5.0,1.0,1280,shift,DS1000,,,,
2,pure_vfe,5.0,1.0,1280,shift,S2,,,,
2,pure_vfe,5.0,0.4375,1280,shift,V250,,,,
3,full,5.0,0.0,1280,shift,S1,,,,
3,full,5.0,0.0015625,1280,shift,DS600,,,,
3,full,5.0,0.0,1280,shift,DS1000,,,,
3,full,5.0,0.0046875,1280,shift,S2,,,,
3,full,5.0,0.41328125,1280,shift,V250,,,,
3,no_detach,5.0,0.01796875,1280,shift,S1,,,,
3,no_detach,5.0,0.053125,1280,shift,DS600,,,,
3,no_detach,5.0,0.0875,1280,shift,DS1000,,,,
3,no_detach,5.0,0.090625,1280,shift,S2,,,,
3,no_detach,5.0,0.44921875,1280,shift,V250,,,,
3,pure_vfe,5.0,0.003125,1280,shift,S1,,,,
3,pure_vfe,5.0,0.95390625,1280,shift,DS600,,,,
3,pure_vfe,5.0,1.0,1280,shift,DS1000,,,,
3,pure_vfe,5.0,1.0,1280,shift,S2,,,,
