cond,snr_db,receiver,mode,n_seeds,first200,first200_lo,first200_hi,last200,last200_lo,last200_hi,accepted_updates,accepted_updates_lo,accepted_updates_hi,false_pass_updates,false_pass_updates_lo,false_pass_updates_hi,median_update_ms,median_update_ms_lo,median_update_ms_hi,initial_pass_rate,initial_pass_rate_lo,initial_pass_rate_hi,recovery_slots
S2,3.0,AINR,gated,5,0.572,0.08267173400267974,1.0613282659973202,0.421,-0.23534304918785914,1.077343049187859,550.2,-73.55692602766987,1173.9569260276699,0.0,0.0,0.0,100.02971666654048,-68.13843078544164,268.1978641185226,0.026000000000000002,-0.008677788249246504,0.06067778824924651,917 inf 382 inf 204
S2,3.0,AINR,none,5,0.978,0.9473960678703784,1.0086039321296214,0.977,0.9473556783493338,1.0066443216506662,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.026000000000000002,-0.008677788249246504,0.06067778824924651,inf inf inf inf inf
S2,3.0,AINR,trig,5,0.572,0.08267173400267974,1.0613282659973202,0.41999999999999993,-0.2374813121428766,1.0774813121428766,550.4,-73.58563837243639,1174.3856383724365,0.0,0.0,0.0,70.93191666641967,22.903847440436245,118.9599858924031,0.026000000000000002,-0.008677788249246504,0.06067778824924651,917 inf 382 inf 204
S2,3.0,AINR,ungated,5,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,73.42668999949638,21.650704750842735,125.20267524815002,0.026000000000000002,-0.008677788249246504,0.06067778824924651,inf inf inf inf inf
S2,3.0,DiscNRX,gated,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,inf inf inf inf inf
S2,3.0,DiscNRX,none,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,inf inf inf inf inf
S2,3.0,DiscNRX,trig,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,inf inf inf inf inf
S2,3.0,DiscNRX,ungated,5,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,1000.0,1000.0,180.0,-319.76011893560275,679.7601189356028,19.24838000059026,17.036226221676227,21.460533779504292,0.0,0.0,0.0,inf inf inf inf inf
S2,5.0,AINR,gated,5,0.063,-0.07779341904410023,0.20379341904410023,0.002,-0.003552890210395586,0.007552890210395586,986.4,958.2276316475287,1014.5723683524712,0.0,0.0,0.0,59.74408999991283,47.08631958213156,72.40186041769411,0.5199999999999999,0.1248073928154757,0.9151926071845241,50 50 50 105 50
S2,5.0,AINR,none,5,0.47400000000000003,0.08109622898664826,0.8669037710133518,0.499,0.149167916745078,0.848832083254922,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.5199999999999999,0.1248073928154757,0.9151926071845241,inf inf inf inf inf
S2,5.0,AINR,trig,5,0.07,-0.06896100817334641,0.20896100817334642,0.003,-0.0025528902103955867,0.008552890210395587,985.0,957.1939334596867,1012.8060665403133,0.0,0.0,0.0,60.24856000019554,42.184003568449455,78.31311643194162,0.5199999999999999,0.1248073928154757,0.9151926071845241,50 61 50 105 50
S2,5.0,AINR,ungated,5,0.6,-0.06320144020565266,1.2632014402056526,0.6,-0.08008738065825571,1.2800873806582556,1000.0,1000.0,1000.0,0.0,0.0,0.0,61.24702000020079,43.14539071810034,79.34864928230124,0.5199999999999999,0.1248073928154757,0.9151926071845241,50 inf 50 inf inf
S2,5.0,DiscNRX,gated,5,0.047,-0.012645123734757964,0.10664512373475796,0.002,-0.003552890210395586,0.007552890210395586,989.8,977.7168802796616,1001.8831197203383,0.0,0.0,0.0,21.182540000052086,17.956394019266217,24.408685980837955,0.22999999999999998,0.03269650413134398,0.427303495868656,50 51 73 51 53
S2,5.0,DiscNRX,none,5,0.7539999999999999,0.5629793661070254,0.9450206338929744,0.752,0.5438314109098906,0.9601685890901094,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.22999999999999998,0.03269650413134398,0.427303495868656,inf inf inf inf inf
S2,5.0,DiscNRX,trig,5,0.053000000000000005,-0.010403940182493326,0.11640394018249334,0.003,-0.0025528902103955867,0.008552890210395587,471.0,382.8549732723849,559.1450267276151,0.0,0.0,0.0,21.578049999834548,17.703283596507458,25.452816403161638,0.22999999999999998,0.03269650413134398,0.427303495868656,50 53 77 51 53
S2,5.0,DiscNRX,ungated,5,0.8009999999999999,0.24848742406563906,1.353512575934361,0.8,0.24471097896044125,1.355289021039559,1000.0,1000.0,1000.0,178.4,-316.9178067672864,673.7178067672864,21.4097300000617,17.49798055543146,25.32147944469194,0.22999999999999998,0.03269650413134398,0.427303495868656,50 inf inf inf inf
