cond,snr_db,seed,receiver,mode,first200,last200,all,recovery_slot,accepted_updates,rejected_crc_fail,false_pass_updates,crc_passes,median_update_ms,initial_pass_rate,n_slots
S2,3.0,0,AINR,none,0.945,0.95,0.944,inf,0,0,0,56,nan,0.05,1000
S2,3.0,0,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,58.96725000002334,0.05,1000
S2,3.0,0,AINR,gated,0.21,0.045,0.071,917,929,71,0,929,61.76789999972243,0.05,1000
S2,3.0,0,AINR,trig,0.21,0.045,0.071,917,929,71,0,929,60.00399999993533,0.05,1000
S2,3.0,0,DiscNRX,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,0,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,20.422299999609095,0.0,1000
S2,3.0,0,DiscNRX,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,0,DiscNRX,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,1,AINR,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,1,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,44.75914999784436,0.0,1000
S2,3.0,1,AINR,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,1,AINR,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,1,DiscNRX,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,1,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,900,900,17.263150002690963,0.0,1000
S2,3.0,1,DiscNRX,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,1,DiscNRX,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,2,AINR,none,0.985,0.98,0.974,inf,0,0,0,26,nan,0.02,1000
S2,3.0,2,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,147.2012999997787,0.02,1000
S2,3.0,2,AINR,gated,0.355,0.025,0.098,382,902,98,0,902,178.19349999990663,0.02,1000
S2,3.0,2,AINR,trig,0.355,0.025,0.098,382,902,98,0,902,93.25514999954976,0.02,1000
S2,3.0,2,DiscNRX,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,2,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,17.385850000209757,0.0,1000
S2,3.0,2,DiscNRX,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,2,DiscNRX,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,3,AINR,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,3,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,55.65869999986717,0.0,1000
S2,3.0,3,AINR,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,3,AINR,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,3,DiscNRX,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,3,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,20.993650000036723,0.0,1000
S2,3.0,3,DiscNRX,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,3,DiscNRX,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,4,AINR,none,0.96,0.955,0.967,inf,0,0,0,33,nan,0.06,1000
S2,3.0,4,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,60.547049999968294,0.06,1000
S2,3.0,4,AINR,gated,0.295,0.035,0.08,204,920,80,0,920,60.127749999992375,0.06,1000
S2,3.0,4,AINR,trig,0.295,0.03,0.079,204,921,79,0,921,59.5365999997739,0.06,1000
S2,3.0,4,DiscNRX,none,1.0,1.0,1.0,inf,0,0,0,0,nan,0.0,1000
S2,3.0,4,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,20.17695000040476,0.0,1000
S2,3.0,4,DiscNRX,gated,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,3.0,4,DiscNRX,trig,1.0,1.0,1.0,inf,0,1000,0,0,nan,0.0,1000
S2,5.0,0,AINR,none,0.145,0.185,0.198,inf,0,0,0,802,nan,0.84,1000
S2,5.0,0,AINR,ungated,0.005,0.0,0.001,50,1000,0,0,999,54.70659999991767,0.84,1000
S2,5.0,0,AINR,gated,0.005,0.0,0.001,50,999,1,0,999,59.60949999985132,0.84,1000
S2,5.0,0,AINR,trig,0.005,0.0,0.001,50,999,1,0,999,48.753300000043964,0.84,1000
S2,5.0,0,DiscNRX,none,0.62,0.59,0.604,inf,0,0,0,396,nan,0.41,1000
S2,5.0,0,DiscNRX,ungated,0.005,0.0,0.002,50,1000,0,0,998,19.970900000089387,0.41,1000
S2,5.0,0,DiscNRX,gated,0.005,0.0,0.002,50,998,2,0,998,20.21059999992758,0.41,1000
S2,5.0,0,DiscNRX,trig,0.005,0.0,0.002,50,360,2,0,998,20.06414999982553,0.41,1000
S2,5.0,1,AINR,none,0.655,0.605,0.652,inf,0,0,0,348,nan,0.35,1000
S2,5.0,1,AINR,ungated,0.99,1.0,0.998,inf,1000,0,0,2,44.94975000125123,0.35,1000
S2,5.0,1,AINR,gated,0.03,0.0,0.007,50,993,7,0,993,44.85679999925196,0.35,1000
S2,5.0,1,AINR,trig,0.065,0.005,0.014,61,986,14,0,986,45.986900000002606,0.35,1000
S2,5.0,1,DiscNRX,none,0.615,0.635,0.585,inf,0,0,0,415,nan,0.35,1000
S2,5.0,1,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,892,892,24.127299999975094,0.35,1000
S2,5.0,1,DiscNRX,gated,0.03,0.0,0.006,51,994,6,0,994,22.318600000005517,0.35,1000
S2,5.0,1,DiscNRX,trig,0.035,0.005,0.008,53,487,8,0,992,24.684900000011112,0.35,1000
S2,5.0,2,AINR,none,0.415,0.425,0.395,inf,0,0,0,605,nan,0.65,1000
S2,5.0,2,AINR,ungated,0.025,0.0,0.006,50,1000,0,0,994,84.08765000012863,0.65,1000
S2,5.0,2,AINR,gated,0.01,0.0,0.003,50,997,3,0,997,73.14020000012533,0.65,1000
S2,5.0,2,AINR,trig,0.01,0.0,0.003,50,997,3,0,997,82.36890000080166,0.65,1000
S2,5.0,2,DiscNRX,none,0.975,1.0,0.987,inf,0,0,0,13,nan,0.02,1000
S2,5.0,2,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,17.319300000053772,0.02,1000
S2,5.0,2,DiscNRX,gated,0.13,0.0,0.027,73,973,27,0,973,17.774699999790755,0.02,1000
S2,5.0,2,DiscNRX,trig,0.14,0.0,0.031,77,509,31,0,969,17.628399999921385,0.02,1000
S2,5.0,3,AINR,none,0.92,0.925,0.93,inf,0,0,0,70,nan,0.05,1000
S2,5.0,3,AINR,ungated,1.0,1.0,1.0,inf,1000,0,0,0,64.41265000034946,0.05,1000
S2,5.0,3,AINR,gated,0.265,0.0,0.054,105,946,54,0,946,63.13185000021804,0.05,1000
S2,5.0,3,AINR,trig,0.265,0.0,0.054,105,946,54,0,946,64.82340000002296,0.05,1000
S2,5.0,3,DiscNRX,none,0.84,0.84,0.839,inf,0,0,0,161,nan,0.13,1000
S2,5.0,3,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,25.00194999993255,0.13,1000
S2,5.0,3,DiscNRX,gated,0.035,0.0,0.007,51,993,7,0,993,24.791100000129518,0.13,1000
S2,5.0,3,DiscNRX,trig,0.045,0.0,0.009,51,547,9,0,991,24.833899999975984,0.13,1000
S2,5.0,4,AINR,none,0.235,0.355,0.306,inf,0,0,0,694,nan,0.71,1000
S2,5.0,4,AINR,ungated,0.98,1.0,0.996,inf,1000,0,0,4,58.07844999935696,0.71,1000
S2,5.0,4,AINR,gated,0.005,0.01,0.003,50,997,3,0,997,57.9821000001175,0.71,1000
S2,5.0,4,AINR,trig,0.005,0.01,0.003,50,997,3,0,997,59.31030000010651,0.71,1000
S2,5.0,4,DiscNRX,none,0.72,0.695,0.711,inf,0,0,0,289,nan,0.24,1000
S2,5.0,4,DiscNRX,ungated,1.0,1.0,1.0,inf,1000,0,0,0,20.629200000257697,0.24,1000
S2,5.0,4,DiscNRX,gated,0.035,0.01,0.009,53,991,9,0,991,20.817700000407058,0.24,1000
S2,5.0,4,DiscNRX,trig,0.04,0.01,0.01,53,452,10,0,990,20.678899999438727,0.24,1000
