snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,resid,DS200,5,0.8307273220486111,0.8122837760655809,0.8491708680316413,0.8162651909722223,0.8132552083333333,0.8426009114583334,0.8371571180555556,0.8443581814236111
5.0,1,resid,DS300,5,0.9664082031250001,0.9568692669403113,0.9759471393096889,0.9630197482638889,0.9570670572916666,0.9732356770833334,0.9633051215277778,0.9754134114583334
5.0,1,resid,DS600,5,0.9992556423611111,0.9987743225317434,0.9997369621904788,0.9990494791666666,0.9989919704861111,0.9995963541666667,0.9988932291666667,0.9997471788194444
5.0,1,resid,DS1000,5,0.999978732638889,0.9999512763024104,1.0000061889753675,0.9999869791666667,0.9999750434027778,0.9999891493055556,0.9999424913194445,1.0
5.0,1,resid,CDLA,5,0.35990679253472224,0.30040524162617854,0.41940834344326594,0.30379014756944445,0.4262250434027778,0.3442019314236111,0.3888943142361111,0.33642252604166667
5.0,1,resid,CDLB,5,0.7526391059027777,0.7288146458435447,0.7764635659620107,0.7475770399305556,0.7652202690972222,0.7681358506944445,0.7213357204861112,0.7609266493055555
5.0,1,resid,CDLD,5,0.6065432942708334,0.34379442246187053,0.8692921660797963,0.5209190538194445,0.9495355902777778,0.39393229166666666,0.5211751302083333,0.6471544053819445
5.0,1,resid,CDLE,5,0.6538891059027778,0.4233225185263582,0.8844556932791974,0.563251953125,0.9529275173611111,0.46370171440972224,0.6003450520833333,0.6892192925347222
5.0,1,resid,S2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,resid,V30,5,0.5020981987847223,0.484425226374666,0.5197711711947786,0.51296875,0.49298990885416666,0.48393446180555555,0.5188075086805556,0.5017903645833334
5.0,1,resid,V90,5,0.5536999782986112,0.5379848799828978,0.5694150766143246,0.5534543185763889,0.5390093315972222,0.557236328125,0.5725792100694445,0.546220703125
5.0,1,resid,V150,5,0.6298787977430556,0.6093833344463385,0.6503742610397726,0.641279296875,0.6028336588541666,0.6252007378472222,0.6401985677083334,0.6398817274305556
5.0,1,resid,V250,5,0.7433404947916666,0.7333013715584275,0.7533796180249058,0.7472607421875,0.7325054253472222,0.7494851345486111,0.7369927300347222,0.7504584418402778
5.0,1,resid,V400,5,0.8416354166666666,0.8176619187954653,0.8656089145378679,0.8348969184027778,0.8177886284722222,0.8501356336805556,0.8359309895833333,0.8694249131944445
5.0,1,tdisp,DS200,5,0.5482272135416666,0.5369575478300916,0.5594968792532415,0.5595366753472222,0.5441818576388889,0.5357769097222222,0.5479231770833334,0.5537174479166667
5.0,1,tdisp,DS300,5,0.625510959201389,0.6123906983792191,0.6386312200235589,0.6252446831597223,0.6310047743055556,0.6380674913194444,0.6237098524305555,0.6095279947916666
5.0,1,tdisp,DS600,5,0.6532730034722222,0.6329430606052227,0.6736029463392217,0.6345562065972222,0.6677473958333333,0.6672059461805555,0.6367784288194445,0.6600770399305556
5.0,1,tdisp,DS1000,5,0.669628689236111,0.6481462751148079,0.691111103357414,0.6506315104166667,0.6774229600694445,0.6950466579861111,0.658740234375,0.6663020833333333
