snr_db,stat,tracks,seed,spearman_rho,n_harmful,harmful
5.0,resid,AINR,0,0.5843959545925994,6,DS600 DS1000 S2 V150 V250 V400
5.0,resid,AINR,1,0.4294958220499828,6,DS600 DS1000 S2 V150 V250 V400
5.0,resid,AINR,2,0.5646708019195309,6,DS600 DS1000 S2 V150 V250 V400
5.0,resid,AINR,3,0.7228759834918133,6,DS600 DS1000 S2 V150 V250 V400
5.0,resid,AINR,4,0.53789761734576,6,DS600 DS1000 S2 V150 V250 V400
5.0,tdisp,AINR,0,0.7956234080598041,6,DS600 DS1000 S2 V150 V250 V400
5.0,tdisp,AINR,1,0.8003173514701866,6,DS600 DS1000 S2 V150 V250 V400
5.0,tdisp,AINR,2,0.8835150909344384,6,DS600 DS1000 S2 V150 V250 V400
5.0,tdisp,AINR,3,0.6961027989180424,6,DS600 DS1000 S2 V150 V250 V400
5.0,tdisp,AINR,4,0.8640436839716961,6,DS600 DS1000 S2 V150 V250 V400
5.0,comb,AINR,0,0.8143991817013335,6,DS600 DS1000 S2 V150 V250 V400
5.0,comb,AINR,1,0.7580718607767455,6,DS600 DS1000 S2 V150 V250 V400
5.0,comb,AINR,2,0.8372704993979251,6,DS600 DS1000 S2 V150 V250 V400
5.0,comb,AINR,3,0.8616097581013532,6,DS600 DS1000 S2 V150 V250 V400
5.0,comb,AINR,4,0.8275347959165539,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_a,AINR,0,0.6876627096210107,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_a,AINR,1,0.7299082003144517,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_a,AINR,2,0.6741974660849572,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_a,AINR,3,0.776422352639355,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_a,AINR,4,0.6741974660849572,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_d,DiscNRX,0,0.7533779173663633,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_d,DiscNRX,1,0.7111324266729223,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_d,DiscNRX,2,0.776422352639355,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_d,DiscNRX,3,0.776422352639355,6,DS600 DS1000 S2 V150 V250 V400
5.0,conf_d,DiscNRX,4,0.8472567855740097,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_a,AINR,0,0.4775669329409193,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_a,AINR,1,0.6488856845230501,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_a,AINR,2,0.4952605565436486,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_a,AINR,3,0.7890763647670371,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_a,AINR,4,0.4952605565436486,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_d,DiscNRX,0,0.6488856845230501,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_d,DiscNRX,1,0.6488856845230501,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_d,DiscNRX,2,0.7890763647670371,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_d,DiscNRX,3,0.7890763647670371,6,DS600 DS1000 S2 V150 V250 V400
5.0,crcfail_d,DiscNRX,4,0.7608859102526822,6,DS600 DS1000 S2 V150 V250 V400
5.0,cf,AINR,0,-0.3637806143046302,6,DS600 DS1000 S2 V150 V250 V400
5.0,cf,AINR,1,-0.316841180200807,6,DS600 DS1000 S2 V150 V250 V400
5.0,cf,AINR,2,-0.3529192511997068,6,DS600 DS1000 S2 V150 V250 V400
5.0,cf,AINR,3,-0.15820518157228236,6,DS600 DS1000 S2 V150 V250 V400
5.0,cf,AINR,4,-0.3480513994590212,6,DS600 DS1000 S2 V150 V250 V400
5.0,ct,AINR,0,0.5843959545925994,6,DS600 DS1000 S2 V150 V250 V400
5.0,ct,AINR,1,0.330923010431954,6,DS600 DS1000 S2 V150 V250 V400
5.0,ct,AINR,2,0.4697476929761615,6,DS600 DS1000 S2 V150 V250 V400
5.0,ct,AINR,3,0.08031955372131258,6,DS600 DS1000 S2 V150 V250 V400
5.0,ct,AINR,4,0.5281619138643888,6,DS600 DS1000 S2 V150 V250 V400
5.0,ymag,AINR,0,-0.06806217945054371,6,DS600 DS1000 S2 V150 V250 V400
5.0,ymag,AINR,1,-0.47643525615380605,6,DS600 DS1000 S2 V150 V250 V400
5.0,ymag,AINR,2,-0.3310139183666216,6,DS600 DS1000 S2 V150 V250 V400
5.0,ymag,AINR,3,-0.4454084342727334,6,DS600 DS1000 S2 V150 V250 V400
5.0,ymag,AINR,4,-0.29207110444113665,6,DS600 DS1000 S2 V150 V250 V400
10.0,resid,AINR,0,0.3970119656913164,3,V150 V250 V400
10.0,resid,AINR,1,0.3201709400736423,4,S2 V150 V250 V400
10.0,resid,AINR,2,0.5719725795305592,4,S2 V150 V250 V400
10.0,resid,AINR,3,0.5719725795305592,5,DS1000 S2 V150 V250 V400
10.0,resid,AINR,4,0.3970119656913164,4,S2 V150 V250 V400
10.0,tdisp,AINR,0,0.7094988032031913,3,V150 V250 V400
10.0,tdisp,AINR,1,0.7094988032031913,4,S2 V150 V250 V400
10.0,tdisp,AINR,2,0.7520830939359269,4,S2 V150 V250 V400
10.0,tdisp,AINR,3,0.7034045765290708,5,DS1000 S2 V150 V250 V400
10.0,tdisp,AINR,4,0.6838851279972998,4,S2 V150 V250 V400
10.0,comb,AINR,0,0.7812170937796872,3,V150 V250 V400
10.0,comb,AINR,1,0.817076239067935,4,S2 V150 V250 V400
10.0,comb,AINR,2,0.8835150909344384,4,S2 V150 V250 V400
10.0,comb,AINR,3,0.8835150909344384,5,DS1000 S2 V150 V250 V400
10.0,comb,AINR,4,0.7709716236973306,4,S2 V150 V250 V400
10.0,conf_a,AINR,0,0.555816751967843,3,V150 V250 V400
10.0,conf_a,AINR,1,0.612166837420804,4,S2 V150 V250 V400
10.0,conf_a,AINR,2,0.7228759834918133,4,S2 V150 V250 V400
10.0,conf_a,AINR,3,0.7228759834918133,5,DS1000 S2 V150 V250 V400
10.0,conf_a,AINR,4,0.555816751967843,4,S2 V150 V250 V400
10.0,conf_d,DiscNRX,0,0.7228759834918133,5,DS1000 S2 V150 V250 V400
10.0,conf_d,DiscNRX,1,0.7228759834918133,4,S2 V150 V250 V400
10.0,conf_d,DiscNRX,2,0.7472152421952414,6,DS600 DS1000 S2 V150 V250 V400
10.0,conf_d,DiscNRX,3,0.7228759834918133,5,DS1000 S2 V150 V250 V400
10.0,conf_d,DiscNRX,4,0.7228759834918133,5,DS1000 S2 V150 V250 V400
10.0,crcfail_a,AINR,0,0.5211926621171639,3,V150 V250 V400
10.0,crcfail_a,AINR,1,0.5211926621171639,4,S2 V150 V250 V400
10.0,crcfail_a,AINR,2,nan,4,S2 V150 V250 V400
10.0,crcfail_a,AINR,3,nan,5,DS1000 S2 V150 V250 V400
10.0,crcfail_a,AINR,4,0.5211926621171639,4,S2 V150 V250 V400
10.0,crcfail_d,DiscNRX,0,0.4952605565436486,5,DS1000 S2 V150 V250 V400
10.0,crcfail_d,DiscNRX,1,0.4952605565436486,4,S2 V150 V250 V400
10.0,crcfail_d,DiscNRX,2,nan,6,DS600 DS1000 S2 V150 V250 V400
10.0,crcfail_d,DiscNRX,3,nan,5,DS1000 S2 V150 V250 V400
10.0,crcfail_d,DiscNRX,4,0.4952605565436486,5,DS1000 S2 V150 V250 V400
10.0,cf,AINR,0,-0.3918892306501381,3,V150 V250 V400
10.0,cf,AINR,1,-0.14599794867358087,4,S2 V150 V250 V400
10.0,cf,AINR,2,-0.38456028751416327,4,S2 V150 V250 V400
10.0,cf,AINR,3,-0.3310139183666216,5,DS1000 S2 V150 V250 V400
10.0,cf,AINR,4,-0.2535753845383246,4,S2 V150 V250 V400
10.0,ct,AINR,0,0.519957606679595,3,V150 V250 V400
10.0,ct,AINR,1,0.6890078630384782,4,S2 V150 V250 V400
10.0,ct,AINR,2,0.525727987994046,4,S2 V150 V250 V400
10.0,ct,AINR,3,0.4478423601430762,5,DS1000 S2 V150 V250 V400
10.0,ct,AINR,4,0.5814304271737344,4,S2 V150 V250 V400
10.0,ymag,AINR,0,-0.29967999990892913,3,V150 V250 V400
10.0,ymag,AINR,1,-0.04866598289119362,4,S2 V150 V250 V400
10.0,ymag,AINR,2,-0.3066746596631935,4,S2 V150 V250 V400
10.0,ymag,AINR,3,-0.4989548034202751,5,DS1000 S2 V150 V250 V400
10.0,ymag,AINR,4,0.08964786322061982,4,S2 V150 V250 V400
