snr_db,window,stat,cond,alpha,n_seeds,tpr_mean,tpr_lo,tpr_hi,realised_fpr_mean
5.0,1,resid,DS200,0.01,5,0.19541666666666666,0.04205574671944062,0.3487775866138927,0.02354166666666667
5.0,1,resid,DS200,0.05,5,0.35124999999999995,0.2349611837069186,0.4675388162930813,0.05333333333333333
5.0,1,resid,DS200,0.1,5,0.46229166666666666,0.36486764792944415,0.5597156854038892,0.08854166666666667
5.0,1,resid,DS300,0.01,5,0.6647916666666667,0.522701801573627,0.8068815317597063,0.02354166666666667
5.0,1,resid,DS300,0.05,5,0.8216666666666667,0.7601152297429797,0.8832181035903536,0.05333333333333333
5.0,1,resid,DS300,0.1,5,0.8897916666666665,0.8546978371049229,0.9248854962284102,0.08854166666666667
5.0,1,resid,DS600,0.01,5,0.9914583333333333,0.9831563575159398,0.9997603091507269,0.02354166666666667
5.0,1,resid,DS600,0.05,5,0.9979166666666666,0.9951729509382756,1.0006603823950575,0.05333333333333333
5.0,1,resid,DS600,0.1,5,0.9997916666666666,0.9992132406030837,1.0003700927302495,0.08854166666666667
5.0,1,resid,DS1000,0.01,5,1.0,1.0,1.0,0.02354166666666667
5.0,1,resid,DS1000,0.05,5,1.0,1.0,1.0,0.05333333333333333
5.0,1,resid,DS1000,0.1,5,1.0,1.0,1.0,0.08854166666666667
5.0,1,resid,CDLA,0.01,5,0.010208333333333335,-0.013839865040323996,0.03425653170699067,0.02354166666666667
5.0,1,resid,CDLA,0.05,5,0.021041666666666667,-0.009420580591984373,0.05150391392531771,0.05333333333333333
5.0,1,resid,CDLA,0.1,5,0.034583333333333334,-0.00023532132798829292,0.06940198799465497,0.08854166666666667
5.0,1,resid,CDLB,0.01,5,0.16875,0.026849813560087116,0.31065018643991293,0.02354166666666667
5.0,1,resid,CDLB,0.05,5,0.281875,0.15750129032688417,0.40624870967311577,0.05333333333333333
5.0,1,resid,CDLB,0.1,5,0.37229166666666663,0.2539452134504203,0.49063811988291295,0.08854166666666667
5.0,1,resid,CDLD,0.01,5,0.15062500000000004,-0.2639642768838577,0.5652142768838578,0.02354166666666667
5.0,1,resid,CDLD,0.05,5,0.18333333333333332,-0.30040950527479926,0.6670761719414658,0.05333333333333333
5.0,1,resid,CDLD,0.1,5,0.20729166666666665,-0.30187771190725077,0.7164610452405841,0.08854166666666667
5.0,1,resid,CDLE,0.01,5,0.15854166666666664,-0.2607099076904443,0.5777932410237776,0.02354166666666667
5.0,1,resid,CDLE,0.05,5,0.20208333333333334,-0.26518057578004534,0.669347242446712,0.05333333333333333
5.0,1,resid,CDLE,0.1,5,0.2402083333333333,-0.2433906224067141,0.7238072890733807,0.08854166666666667
5.0,1,resid,S2,0.01,5,1.0,1.0,1.0,0.02354166666666667
5.0,1,resid,S2,0.05,5,1.0,1.0,1.0,0.05333333333333333
5.0,1,resid,S2,0.1,5,1.0,1.0,1.0,0.08854166666666667
5.0,1,resid,V30,0.01,5,0.023541666666666666,-0.007373028464659578,0.05445636179799291,0.02354166666666667
5.0,1,resid,V30,0.05,5,0.058125,0.030034090919499927,0.08621590908050009,0.05333333333333333
5.0,1,resid,V30,0.1,5,0.09125,0.06108853323699344,0.12141146676300656,0.08854166666666667
5.0,1,resid,V90,0.01,5,0.03,-0.016132878285171147,0.07613287828517115,0.02354166666666667
5.0,1,resid,V90,0.05,5,0.065625,0.027420407319577324,0.10382959268042269,0.05333333333333333
5.0,1,resid,V90,0.1,5,0.10999999999999999,0.07133188236283135,0.14866811763716864,0.08854166666666667
5.0,1,resid,V150,0.01,5,0.03604166666666667,-0.007634289166592728,0.07971762249992607,0.02354166666666667
5.0,1,resid,V150,0.05,5,0.09166666666666667,0.05632819508219007,0.1270051382511433,0.05333333333333333
5.0,1,resid,V150,0.1,5,0.15729166666666666,0.116014167942418,0.19856916539091532,0.08854166666666667
5.0,1,resid,V250,0.01,5,0.11354166666666665,-0.00764860180620322,0.23473193513953652,0.02354166666666667
5.0,1,resid,V250,0.05,5,0.23937500000000003,0.13929141061976805,0.339458589380232,0.05333333333333333
5.0,1,resid,V250,0.1,5,0.3385416666666667,0.24508960088044546,0.4319937324528879,0.08854166666666667
