slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
50,0.488,0.105858,0.870142,0.588,0,1,0.204,0,0.674655,0.228,0,0.691126,0.776,0.572428,0.979572,0.8,0.244711,1,0.172,0,0.421942,0.18,0,0.438672
60,0.46,0.0478124,0.872188,0.604,0,1,0.16,0,0.590483,0.176,0,0.598677,0.78,0.575974,0.984026,0.8,0.244711,1,0.08,0,0.24751,0.092,0,0.27998
70,0.464,0.0599724,0.868028,0.604,0,1,0.124,0,0.454572,0.128,0,0.456326,0.772,0.543993,1,0.8,0.244711,1,0.032,0,0.107731,0.048,0,0.141908
80,0.48,0.0807321,0.879268,0.604,0,1,0.096,0,0.335097,0.104,0,0.339196,0.792,0.588276,0.995724,0.804,0.259817,1,0.012,0,0.0256017,0.032,0.0036857,0.0603143
90,0.48,0.0826675,0.877332,0.604,0,1,0.056,0,0.184319,0.06,0,0.186625,0.78,0.555125,1,0.804,0.259817,1,0.008,0,0.0216017,0.024,0.00322299,0.044777
100,0.472,0.0573511,0.886649,0.608,0,1,0.044,0,0.127108,0.044,0,0.127108,0.764,0.558168,0.969832,0.804,0.259817,1,0.012,0,0.0256017,0.024,0,0.0512035
110,0.488,0.0908228,0.885177,0.608,0,1,0.024,0,0.0563786,0.02,0,0.0504144,0.752,0.562387,0.941613,0.804,0.259817,1,0.008,0,0.0216017,0.016,0,0.0483786
120,0.48,0.0696869,0.890313,0.608,0,1,0.016,0,0.036777,0.016,0,0.036777,0.736,0.533186,0.938814,0.804,0.259817,1,0.008,0,0.0216017,0.012,0,0.0342116
130,0.468,0.039455,0.896545,0.604,0,1,0.008,0,0.0216017,0.004,0,0.0151058,0.72,0.499977,0.940023,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
140,0.468,0.0434308,0.892569,0.608,0,1,0.008,0,0.0216017,0.004,0,0.0151058,0.712,0.506018,0.917982,0.8,0.244711,1,0.004,0,0.0151058,0.004,0,0.0151058
150,0.472,0.0629664,0.881034,0.604,0,1,0,0,0,0,0,0,0.712,0.486714,0.937286,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
