step,info_rand,coded_rand,ginfo_rand,gcoded_rand,info_warm,coded_warm,ginfo_warm,gcoded_warm,info_zero,coded_zero,ginfo_zero,gcoded_zero
1,0.488788,0.489864,7.92252,9.94761,0.301247,0.30011,7.40514,9.13739,0.501823,0.250877,0,12.0065
25,0.319353,0.274863,5.00044,6.03839,0.189364,0.146402,4.4245,5.34037,0.501823,0.250877,0,5.82946
50,0.257579,0.192455,2.98438,3.25752,0.185622,0.119264,2.56767,2.92241,0.501823,0.250877,0,2.94601
75,0.236458,0.160519,1.9287,2.08508,0.171162,0.0898849,1.69099,1.78977,0.501823,0.238884,0,2.2462
100,0.21616,0.128646,1.49966,1.56511,0.162075,0.0806469,1.43335,1.26571,0.501823,0.136678,0,1.96077
125,0.202152,0.0983416,1.65257,1.25914,0.152659,0.0625891,1.87312,1.00481,0.501823,0.0617462,0,1.5406
150,0.195573,0.0717722,2.10181,1.03644,0.148163,0.0435581,2.206,0.836286,0.501823,0.0313528,0,1.14295
175,0.193791,0.0498698,2.09132,0.857206,0.147601,0.0291255,1.84102,0.697613,0.501823,0.0183388,0,0.861916
200,0.194504,0.033724,1.62146,0.706856,0.148917,0.0182018,1.35686,0.57203,0.501823,0.012082,0,0.673482
225,0.196107,0.0224438,1.20146,0.581949,0.150384,0.0115885,0.98137,0.466903,0.501823,0.00857319,0,0.543879
250,0.197135,0.0151658,0.90326,0.481748,0.150932,0.00798383,0.739956,0.385888,0.501823,0.00662007,0,0.451073
275,0.197848,0.0106565,0.691785,0.403282,0.151823,0.00595532,0.582524,0.324717,0.501823,0.00551672,0,0.382094
300,0.198232,0.00788103,0.540744,0.342445,0.152316,0.00483827,0.46648,0.278057,0.501823,0.00470121,0,0.3292
325,0.198424,0.00609238,0.445958,0.295048,0.152522,0.00397478,0.383104,0.241733,0.501823,0.00422834,0,0.287565
350,0.198766,0.00491365,0.375341,0.25754,0.152755,0.00349507,0.319029,0.212779,0.501823,0.00381716,0,0.254065
375,0.198986,0.00409814,0.316975,0.227381,0.152933,0.00313185,0.275935,0.189247,0.501823,0.00344024,0,0.226608
400,0.19915,0.00370066,0.278786,0.202741,0.153043,0.00287829,0.240397,0.169779,0.501823,0.00328947,0,0.203748
425,0.199191,0.00341283,0.243114,0.18233,0.153235,0.00270011,0.213696,0.153437,0.501823,0.00305647,0,0.184467
450,0.199315,0.00314556,0.21977,0.165175,0.153344,0.00259046,0.189373,0.139556,0.501823,0.00288514,0,0.168017
475,0.199383,0.00294682,0.197679,0.150567,0.153454,0.00243969,0.170249,0.12764,0.501823,0.00278235,0,0.153841
500,0.199356,0.00275493,0.175215,0.137991,0.153536,0.0023369,0.154963,0.117308,0.501823,0.00261787,0,0.141518
525,0.199424,0.00262473,0.158763,0.127061,0.153605,0.00221354,0.140322,0.108272,0.501823,0.00252878,0,0.130723
550,0.199493,0.00258361,0.14331,0.117489,0.153687,0.00215186,0.128073,0.100316,0.501823,0.00247396,0,0.121202
575,0.199534,0.00250137,0.130133,0.10904,0.153783,0.00214501,0.11887,0.0932687,0.501823,0.00239172,0,0.112752
600,0.199561,0.00240543,0.120323,0.101541,0.15392,0.00209704,0.112569,0.0869907,0.501823,0.00230263,0,0.105212
625,0.199603,0.0023506,0.111243,0.0948486,0.154016,0.00206963,0.102605,0.0813689,0.501823,0.00220669,0,0.098448
650,0.199698,0.00228207,0.104181,0.0888415,0.154043,0.0020148,0.0966974,0.07631,0.501823,0.00216557,0,0.0923526
