snr_db,AINR,AINR_lo,AINR_hi,DiscNRX,DiscNRX_lo,DiscNRX_hi,LSLIN,LSLIN_lo,LSLIN_hi,LSLMMSE,LSLMMSE_lo,LSLMMSE_hi,PCSI,PCSI_lo,PCSI_hi
-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,0.996406,0.993145,0.999667,0.994688,0.993094,0.996281,1,1,1,0.999219,0.999219,0.999219,0.923438,0.923438,0.923438
0.1,0.9825,0.980877,0.984123,0.981562,0.977894,0.985231,1,1,1,0.996094,0.996094,0.996094,0.8,0.8,0.8
0.2,0.941406,0.933147,0.949666,0.935781,0.929152,0.94241,1,1,1,0.98125,0.98125,0.98125,0.695312,0.695312,0.695312
0.3,0.878594,0.861506,0.895682,0.863438,0.846941,0.879934,1,1,1,0.958594,0.958594,0.958594,0.499219,0.499219,0.499219
0.4,0.763906,0.755578,0.772234,0.74375,0.726962,0.760538,1,1,1,0.8875,0.8875,0.8875,0.316406,0.316406,0.316406
0.5,0.595469,0.553127,0.63781,0.565469,0.541146,0.589792,1,1,1,0.829688,0.829688,0.829688,0.184375,0.184375,0.184375
0.6,0.433281,0.405574,0.460988,0.404375,0.39378,0.41497,1,1,1,0.704688,0.704688,0.704688,0.0960938,0.0960938,0.0960938
0.7,0.274062,0.259603,0.288522,0.251406,0.244849,0.257964,1,1,1,0.534375,0.534375,0.534375,0.0445313,0.0445313,0.0445313
0.8,0.160625,0.144442,0.176808,0.145781,0.127561,0.164002,1,1,1,0.423438,0.423438,0.423438,0.0140625,0.0140625,0.0140625
0.9,0.07875,0.0726379,0.0848621,0.0689063,0.0613486,0.0764639,1,1,1,0.274219,0.274219,0.274219,0.0015625,0.0015625,0.0015625
1.0,0.0401563,0.0324689,0.0478436,0.03375,0.0257097,0.0417903,1,1,1,0.177344,0.177344,0.177344,0.00078125,0.00078125,0.00078125
1.1,0.0164063,0.0114599,0.0213526,0.0146875,0.0106064,0.0187686,1,1,1,0.102344,0.102344,0.102344,0.00078125,0.00078125,0.00078125
1.2,0.0053125,0.00310045,0.00752455,0.00515625,0.00236156,0.00795094,1,1,1,0.0398437,0.0398437,0.0398437,nan,nan,nan
1.3,0.0034375,0.00233147,0.00454353,0.00234375,0.000809966,0.00387753,1,1,1,0.015625,0.015625,0.015625,nan,nan,nan
1.4,0.0009375,0.0005,0.00220229,0.000625,0.0005,0.00105882,1,1,1,0.0117188,0.0117188,0.0117188,nan,nan,nan
1.5,0.000625,0.0005,0.0014366,0.000625,0.0005,0.00188979,1,1,1,0.00546875,0.00546875,0.00546875,nan,nan,nan
1.6,0.00046875,0.0005,0.00133639,0.00015625,0.0005,0.00059007,1,1,1,0.0015625,0.0015625,0.0015625,nan,nan,nan
1.7,0.0003125,0.0005,0.000843818,0.00015625,0.0005,0.00059007,1,1,1,0.0015625,0.0015625,0.0015625,nan,nan,nan
1.8,0.00015625,0.0005,0.00059007,0.00015625,0.0005,0.00059007,1,1,1,nan,nan,nan,nan,nan,nan
1.9,0.00015625,0.0005,0.00059007,0.00015625,0.0005,0.00059007,1,1,1,0.00078125,0.00078125,0.00078125,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
2.5,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
3.5,nan,nan,nan,nan,nan,nan,1,1,1,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,0.994531,0.994531,0.994531,nan,nan,nan,nan,nan,nan
4.1,nan,nan,nan,nan,nan,nan,0.989844,0.989844,0.989844,nan,nan,nan,nan,nan,nan
4.2,nan,nan,nan,nan,nan,nan,0.958594,0.958594,0.958594,nan,nan,nan,nan,nan,nan
4.3,nan,nan,nan,nan,nan,nan,0.913281,0.913281,0.913281,nan,nan,nan,nan,nan,nan
4.4,nan,nan,nan,nan,nan,nan,0.802344,0.802344,0.802344,nan,nan,nan,nan,nan,nan
4.5,nan,nan,nan,nan,nan,nan,0.709375,0.709375,0.709375,nan,nan,nan,nan,nan,nan
4.6,nan,nan,nan,nan,nan,nan,0.530469,0.530469,0.530469,nan,nan,nan,nan,nan,nan
4.7,nan,nan,nan,nan,nan,nan,0.367188,0.367188,0.367188,nan,nan,nan,nan,nan,nan
4.8,nan,nan,nan,nan,nan,nan,0.239063,0.239063,0.239063,nan,nan,nan,nan,nan,nan
4.9,nan,nan,nan,nan,nan,nan,0.124219,0.124219,0.124219,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,0.0640625,0.0640625,0.0640625,nan,nan,nan,nan,nan,nan
5.1,nan,nan,nan,nan,nan,nan,0.0273438,0.0273438,0.0273438,nan,nan,nan,nan,nan,nan
5.2,nan,nan,nan,nan,nan,nan,0.0164063,0.0164063,0.0164063,nan,nan,nan,nan,nan,nan
5.3,nan,nan,nan,nan,nan,nan,0.00546875,0.00546875,0.00546875,nan,nan,nan,nan,nan,nan
5.4,nan,nan,nan,nan,nan,nan,0.00078125,0.00078125,0.00078125,nan,nan,nan,nan,nan,nan
5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
