fpr,S2_resid,S2_comb,S2_conf_d,S2_tdisp,V90_resid,V90_comb,V90_conf_d,V90_tdisp,V250_resid,V250_comb,V250_conf_d,V250_tdisp
0.000,1.0000,1.0000,1.0000,0.0081,0.0006,0.0179,0.0015,0.0387,0.0035,0.4679,0.1644,0.5335
0.010,1.0000,1.0000,1.0000,0.0617,0.0104,0.0765,0.0604,0.1160,0.0531,0.5808,0.5090,0.6248
0.020,1.0000,1.0000,1.0000,0.0990,0.0235,0.1050,0.1460,0.1552,0.1225,0.6165,0.6100,0.6579
0.030,1.0000,1.0000,1.0000,0.1308,0.0342,0.1387,0.1881,0.1856,0.1642,0.6415,0.6438,0.6815
0.040,1.0000,1.0000,1.0000,0.1544,0.0500,0.1663,0.2240,0.2004,0.2017,0.6579,0.6677,0.6958
0.050,1.0000,1.0000,1.0000,0.1779,0.0612,0.1898,0.2569,0.2215,0.2308,0.6754,0.6875,0.7121
0.060,1.0000,1.0000,1.0000,0.1977,0.0740,0.2090,0.2854,0.2394,0.2600,0.6919,0.7056,0.7202
0.070,1.0000,1.0000,1.0000,0.2215,0.0883,0.2233,0.3073,0.2577,0.2927,0.7004,0.7173,0.7325
0.080,1.0000,1.0000,1.0000,0.2429,0.1004,0.2408,0.3367,0.2748,0.3196,0.7102,0.7290,0.7440
0.090,1.0000,1.0000,1.0000,0.2631,0.1150,0.2529,0.3604,0.2896,0.3533,0.7165,0.7398,0.7517
0.100,1.0000,1.0000,1.0000,0.2796,0.1248,0.2656,0.3792,0.3063,0.3758,0.7240,0.7531,0.7583
0.110,1.0000,1.0000,1.0000,0.2969,0.1383,0.2812,0.3973,0.3169,0.4033,0.7304,0.7635,0.7644
0.120,1.0000,1.0000,1.0000,0.3113,0.1517,0.2975,0.4129,0.3296,0.4208,0.7431,0.7712,0.7692
0.130,1.0000,1.0000,1.0000,0.3240,0.1650,0.3098,0.4287,0.3442,0.4446,0.7521,0.7779,0.7760
0.140,1.0000,1.0000,1.0000,0.3369,0.1792,0.3254,0.4481,0.3577,0.4637,0.7608,0.7875,0.7821
0.150,1.0000,1.0000,1.0000,0.3538,0.1967,0.3342,0.4583,0.3704,0.4867,0.7642,0.7940,0.7877
0.160,1.0000,1.0000,1.0000,0.3698,0.2052,0.3442,0.4688,0.3800,0.4992,0.7671,0.8029,0.7906
0.170,1.0000,1.0000,1.0000,0.3829,0.2175,0.3588,0.4815,0.3890,0.5150,0.7750,0.8098,0.7933
0.180,1.0000,1.0000,1.0000,0.3990,0.2292,0.3706,0.4908,0.4012,0.5269,0.7808,0.8150,0.7998
0.190,1.0000,1.0000,1.0000,0.4129,0.2385,0.3831,0.5025,0.4129,0.5402,0.7869,0.8204,0.8054
0.200,1.0000,1.0000,1.0000,0.4244,0.2500,0.3929,0.5148,0.4221,0.5540,0.7902,0.8285,0.8102
0.210,1.0000,1.0000,1.0000,0.4348,0.2602,0.4042,0.5238,0.4306,0.5654,0.7973,0.8327,0.8131
0.220,1.0000,1.0000,1.0000,0.4463,0.2685,0.4188,0.5367,0.4410,0.5783,0.8021,0.8369,0.8181
0.230,1.0000,1.0000,1.0000,0.4581,0.2796,0.4283,0.5477,0.4521,0.5944,0.8069,0.8396,0.8213
0.240,1.0000,1.0000,1.0000,0.4671,0.2894,0.4354,0.5560,0.4592,0.6052,0.8102,0.8452,0.8250
0.250,1.0000,1.0000,1.0000,0.4833,0.3008,0.4471,0.5698,0.4723,0.6148,0.8125,0.8506,0.8313
0.260,1.0000,1.0000,1.0000,0.4927,0.3102,0.4592,0.5792,0.4806,0.6258,0.8179,0.8535,0.8352
0.270,1.0000,1.0000,1.0000,0.5040,0.3198,0.4679,0.5887,0.4908,0.6367,0.8210,0.8569,0.8394
0.280,1.0000,1.0000,1.0000,0.5152,0.3277,0.4781,0.5977,0.5015,0.6465,0.8254,0.8600,0.8423
0.290,1.0000,1.0000,1.0000,0.5312,0.3381,0.4854,0.6088,0.5144,0.6575,0.8275,0.8644,0.8471
0.300,1.0000,1.0000,1.0000,0.5421,0.3502,0.4942,0.6190,0.5235,0.6685,0.8319,0.8681,0.8492
0.310,1.0000,1.0000,1.0000,0.5494,0.3594,0.5017,0.6267,0.5319,0.6760,0.8360,0.8744,0.8519
0.320,1.0000,1.0000,1.0000,0.5596,0.3688,0.5117,0.6348,0.5417,0.6858,0.8402,0.8792,0.8542
0.330,1.0000,1.0000,1.0000,0.5683,0.3756,0.5177,0.6442,0.5483,0.6925,0.8433,0.8833,0.8565
0.340,1.0000,1.0000,1.0000,0.5802,0.3950,0.5294,0.6556,0.5581,0.7023,0.8465,0.8860,0.8596
0.350,1.0000,1.0000,1.0000,0.5900,0.4058,0.5394,0.6638,0.5662,0.7121,0.8502,0.8873,0.8623
0.360,1.0000,1.0000,1.0000,0.5996,0.4171,0.5471,0.6713,0.5744,0.7190,0.8531,0.8896,0.8662
