slot,S2_resid,V250_resid,S2_tdisp,V250_tdisp,S2_conf_d,V250_conf_d
1,0.1181,0.1181,-1.1046,-1.1046,0.7262,0.7262
2,0.8467,0.8467,0.9224,0.9224,0.3193,0.3193
3,-0.0230,-0.0230,-0.7900,-0.7900,-0.0095,-0.0095
4,0.1980,0.1980,-0.7866,-0.7866,-0.0792,-0.0792
5,3.5402,3.5402,-1.0481,-1.0481,-0.6686,-0.6686
6,-0.6139,-0.6139,0.6694,0.6694,0.2149,0.2149
7,0.1273,0.1273,0.5159,0.5159,0.2782,0.2782
8,-0.7398,-0.7398,-0.1030,-0.1030,-1.8243,-1.8243
9,-0.1497,-0.1497,-1.3028,-1.3028,-0.1749,-0.1749
10,3.0626,3.0626,-0.6730,-0.6730,-0.2660,-0.2660
11,-0.4267,-0.4267,-0.6923,-0.6923,-0.5323,-0.5323
12,-0.9705,-0.9705,0.4752,0.4752,-0.7547,-0.7547
13,-0.4641,-0.4641,1.1621,1.1621,0.4695,0.4695
14,-0.2830,-0.2830,1.0980,1.0980,-0.4434,-0.4434
15,1.1916,1.1916,-0.5382,-0.5382,0.7558,0.7558
16,-0.9741,-0.9741,0.8904,0.8904,-0.7695,-0.7695
17,0.0516,0.0516,-0.6922,-0.6922,-1.4440,-1.4440
18,-0.7481,-0.7481,-0.3814,-0.3814,0.6802,0.6802
19,-0.1445,-0.1445,-0.6997,-0.6997,-0.5186,-0.5186
20,1.1355,1.1355,-0.4282,-0.4282,-0.6966,-0.6966
21,0.5435,0.5435,0.7267,0.7267,1.9699,1.9699
22,-0.8399,-0.8399,0.4656,0.4656,0.0460,0.0460
23,-1.3919,-1.3919,-0.4540,-0.4540,-0.7467,-0.7467
24,0.8885,0.8885,-0.3749,-0.3749,1.6985,1.6985
25,0.9209,0.9209,-1.5304,-1.5304,-0.6629,-0.6629
26,-0.3003,-0.3003,0.6051,0.6051,0.3233,0.3233
27,-0.7874,-0.7874,1.0854,1.0854,-1.6200,-1.6200
28,-0.2109,-0.2109,0.0462,0.0462,-0.5462,-0.5462
29,-0.4571,-0.4571,0.3855,0.3855,-0.5688,-0.5688
30,-1.0353,-1.0353,0.1166,0.1166,0.1918,0.1918
31,-0.9568,-0.9568,-0.0722,-0.0722,-1.5071,-1.5071
32,-0.7089,-0.7089,0.5226,0.5226,-1.9339,-1.9339
33,-0.6009,-0.6009,-0.5375,-0.5375,-0.6850,-0.6850
34,-0.3316,-0.3316,0.5223,0.5223,-1.7449,-1.7449
35,-0.3409,-0.3409,1.5475,1.5475,-0.4366,-0.4366
36,1.7587,1.7587,0.8000,0.8000,-1.6193,-1.6193
37,-0.4372,-0.4372,-0.4882,-0.4882,-0.7985,-0.7985
38,-0.3251,-0.3251,-1.1255,-1.1255,-0.9392,-0.9392
39,0.7181,0.7181,1.1557,1.1557,0.7169,0.7169
40,0.3460,0.3460,-0.8117,-0.8117,1.8056,1.8056
41,-0.2481,-0.2481,-0.3795,-0.3795,0.1786,0.1786
42,4.1853,4.1853,-0.1682,-0.1682,4.4606,4.4606
43,-0.5676,-0.5676,-0.8371,-0.8371,-0.0203,-0.0203
44,1.9604,1.9604,-0.1149,-0.1149,-0.0901,-0.0901
45,-0.7738,-0.7738,0.3725,0.3725,-1.3113,-1.3113
46,0.5074,0.5074,-0.0777,-0.0777,0.2833,0.2833
47,0.9074,0.9074,-0.9791,-0.9791,-0.7859,-0.7859
48,0.0496,0.0496,0.8198,0.8198,-0.0864,-0.0864
49,4.0050,4.0050,0.5901,0.5901,1.7948,1.7948
50,-0.6819,-0.6819,0.1320,0.1320,-0.8260,-0.8260
51,0.1788,0.1788,-1.0645,-1.0645,-0.3834,-0.3834
52,-0.1137,-0.1137,-0.9769,-0.9769,0.9160,0.9160
53,-0.3320,-0.3320,-0.7218,-0.7218,1.9480,1.9480
54,-0.7429,-0.7429,0.8470,0.8470,-1.8228,-1.8228
55,0.5907,0.5907,0.6350,0.6350,0.0721,0.0721
56,0.5900,0.5900,0.6373,0.6373,0.3631,0.3631
57,-0.7381,-0.7381,0.7777,0.7777,-0.8890,-0.8890
58,0.7993,0.7993,0.3682,0.3682,0.0395,0.0395
59,-0.7675,-0.7675,1.3083,1.3083,2.4255,2.4255
60,0.2674,0.2674,-1.6583,-1.6583,-1.0813,-1.0813
61,-0.8201,-0.8201,0.6916,0.6916,2.0973,2.0973
62,-0.5388,-0.5388,-0.9245,-0.9245,-0.0059,-0.0059
63,0.8018,0.8018,0.8838,0.8838,1.2538,1.2538
64,0.7785,0.7785,-1.5216,-1.5216,1.6677,1.6677
65,0.0384,0.0384,-0.2645,-0.2645,-0.0183,-0.0183
66,-0.9020,-0.9020,1.8659,1.8659,-0.5310,-0.5310
67,1.1264,1.1264,1.0442,1.0442,0.1992,0.1992
68,-0.0779,-0.0779,-0.9394,-0.9394,-0.0074,-0.0074
69,0.8616,0.8616,0.2412,0.2412,-1.1071,-1.1071
70,-0.4470,-0.4470,1.1731,1.1731,-0.6505,-0.6505
71,-1.0885,-1.0885,0.0490,0.0490,0.1801,0.1801
72,0.1242,0.1242,-0.8568,-0.8568,-1.1800,-1.1800
73,0.3764,0.3764,-0.4007,-0.4007,0.9513,0.9513
74,-0.8301,-0.8301,2.4961,2.4961,1.0493,1.0493
75,1.0614,1.0614,0.3865,0.3865,-0.2998,-0.2998
76,0.7255,0.7255,-0.8949,-0.8949,-0.5509,-0.5509
77,-0.5731,-0.5731,-0.7412,-0.7412,0.4717,0.4717
78,-0.6835,-0.6835,0.5665,0.5665,1.1354,1.1354
79,-0.8396,-0.8396,-0.0799,-0.0799,-0.0755,-0.0755
80,-0.7734,-0.7734,0.1080,0.1080,-0.6949,-0.6949
81,-0.0211,-0.0211,2.1522,2.1522,-1.7078,-1.7078
82,0.1079,0.1079,1.5775,1.5775,0.3403,0.3403
83,1.5265,1.5265,-0.2469,-0.2469,1.2650,1.2650
84,1.5446,1.5446,0.4711,0.4711,-0.2229,-0.2229
85,-0.2838,-0.2838,-0.1670,-0.1670,-1.7013,-1.7013
86,-0.0959,-0.0959,-1.0132,-1.0132,1.8998,1.8998
87,1.2508,1.2508,0.2964,0.2964,0.6599,0.6599
88,0.0653,0.0653,-0.4074,-0.4074,0.8549,0.8549
89,-0.8023,-0.8023,1.0138,1.0138,-1.8683,-1.8683
90,0.6710,0.6710,0.2905,0.2905,1.3240,1.3240
91,-0.6021,-0.6021,-1.7358,-1.7358,-0.3099,-0.3099
92,-1.2234,-1.2234,1.5541,1.5541,-0.4253,-0.4253
93,-0.2902,-0.2902,-0.9473,-0.9473,-0.1056,-0.1056
94,-0.5428,-0.5428,-0.0418,-0.0418,0.5903,0.5903
95,-0.8880,-0.8880,0.9618,0.9618,-0.1221,-0.1221
96,-0.9170,-0.9170,0.1224,0.1224,-0.5082,-0.5082
97,-0.3060,-0.3060,-1.1379,-1.1379,0.9553,0.9553
98,-0.9722,-0.9722,-0.2165,-0.2165,-1.2458,-1.2458
99,-0.8814,-0.8814,0.8964,0.8964,-0.7989,-0.7989
100,-1.0491,-1.0491,1.6682,1.6682,-0.6408,-0.6408
101,0.5408,0.5408,1.1729,1.1729,1.1227,1.1227
102,1.2305,1.2305,-1.1530,-1.1530,-0.4758,-0.4758
103,0.8143,0.8143,-0.8390,-0.8390,-0.0339,-0.0339
104,-0.1538,-0.1538,-0.9741,-0.9741,0.2546,0.2546
105,-0.5573,-0.5573,-0.7535,-0.7535,0.4030,0.4030
106,0.3822,0.3822,0.4018,0.4018,-1.2829,-1.2829
107,2.6460,2.6460,-0.9772,-0.9772,3.2306,3.2306
108,-0.6682,-0.6682,-1.0049,-1.0049,-1.8582,-1.8582
109,1.2203,1.2203,0.6066,0.6066,-0.8295,-0.8295
110,-0.5161,-0.5161,1.1048,1.1048,0.6189,0.6189
111,0.3170,0.3170,-1.7305,-1.7305,-0.6382,-0.6382
112,0.4988,0.4988,-0.3741,-0.3741,-0.3690,-0.3690
113,0.2115,0.2115,-0.1332,-0.1332,0.9034,0.9034
114,-0.2746,-0.2746,-1.1308,-1.1308,1.1273,1.1273
115,-0.5852,-0.5852,0.6266,0.6266,-2.0695,-2.0695
116,-0.5218,-0.5218,-0.0827,-0.0827,-0.8208,-0.8208
117,-0.5821,-0.5821,0.1911,0.1911,0.3060,0.3060
118,0.2235,0.2235,-0.5287,-0.5287,-0.8757,-0.8757
119,0.3553,0.3553,0.2204,0.2204,0.0915,0.0915
120,-1.0586,-1.0586,-0.0521,-0.0521,0.0913,0.0913
121,-0.5014,-0.5014,0.0959,0.0959,0.3512,0.3512
122,-0.3980,-0.3980,-0.5996,-0.5996,0.6671,0.6671
123,-0.3274,-0.3274,2.3664,2.3664,-0.5416,-0.5416
124,0.7221,0.7221,-0.9133,-0.9133,-0.6957,-0.6957
125,0.8719,0.8719,-1.2711,-1.2711,0.1046,0.1046
126,0.1668,0.1668,0.7937,0.7937,0.9300,0.9300
127,1.8661,1.8661,-0.0413,-0.0413,0.1543,0.1543
128,-0.4218,-0.4218,-1.1176,-1.1176,0.3996,0.3996
129,-0.8102,-0.8102,1.4106,1.4106,1.2544,1.2544
130,0.6245,0.6245,-0.0007,-0.0007,1.6771,1.6771
131,0.1791,0.1791,-0.5208,-0.5208,0.3252,0.3252
132,-0.4111,-0.4111,1.0567,1.0567,0.1692,0.1692
133,0.9677,0.9677,0.6749,0.6749,1.1303,1.1303
134,-0.3069,-0.3069,-1.3973,-1.3973,0.9472,0.9472
135,-0.4364,-0.4364,0.1718,0.1718,-0.4296,-0.4296
136,0.7418,0.7418,-0.5192,-0.5192,-0.4691,-0.4691
137,0.8310,0.8310,-0.5921,-0.5921,1.1289,1.1289
138,3.6616,3.6616,0.7628,0.7628,1.7724,1.7724
139,0.0777,0.0777,-0.6875,-0.6875,0.0061,0.0061
140,0.0990,0.0990,0.1146,0.1146,-1.0051,-1.0051
141,0.2106,0.2106,1.2767,1.2767,0.7285,0.7285
142,1.1934,1.1934,0.6024,0.6024,-0.8340,-0.8340
143,-1.0356,-1.0356,-0.9689,-0.9689,-2.0635,-2.0635
144,-0.5971,-0.5971,-0.2253,-0.2253,-0.0329,-0.0329
145,-1.0732,-1.0732,-1.3718,-1.3718,0.2227,0.2227
146,-0.7862,-0.7862,-0.9820,-0.9820,-0.5963,-0.5963
147,-1.2274,-1.2274,-0.9061,-0.9061,-0.9597,-0.9597
148,-0.8160,-0.8160,-0.3821,-0.3821,-1.1930,-1.1930
149,-0.3190,-0.3190,-0.8547,-0.8547,-1.3096,-1.3096
150,1.9212,1.9212,-0.3368,-0.3368,-0.9015,-0.9015
151,16.8162,1.5192,1.0447,16.4418,49.4340,2.3102
152,16.8817,0.8068,1.7509,9.9174,52.6579,2.1864
153,16.7166,0.8997,-0.2797,14.6499,49.3535,5.1646
154,16.6751,1.3779,-0.4523,0.8160,50.9276,3.8426
155,15.6276,1.2190,2.5408,2.8354,47.5511,3.2463
156,13.7995,0.8034,1.2525,0.0548,34.1239,4.2590
157,13.7348,1.8580,1.9794,23.7127,40.4292,7.4914
158,15.9138,2.5065,0.1359,12.3165,47.7346,5.0373
159,16.7754,0.8769,-0.9772,2.0127,47.4158,4.5833
160,15.9508,-0.0040,-1.2254,2.7104,51.9311,0.9895
161,19.5223,1.2779,-1.1218,8.3717,45.8764,5.1301
162,15.7151,-0.5963,0.8802,4.6708,43.9454,2.5633
163,18.6602,1.0726,-0.7865,11.0157,51.9204,4.2961
164,16.2559,1.2094,-0.1270,14.6482,51.6348,6.1699
165,21.2398,0.2627,1.8998,0.2816,57.0800,0.1195
166,16.9978,0.3372,0.5023,4.2644,52.0485,1.8352
167,15.8900,1.3897,2.8485,56.7243,49.7727,7.6593
168,19.6352,1.5904,0.3360,26.4998,64.0682,8.0403
169,13.2156,0.8023,0.2749,7.0391,38.6999,3.8953
170,15.7601,1.4304,-0.7013,9.7474,55.9652,5.2793
171,17.8421,1.1182,2.2446,0.2744,45.6137,2.8429
172,16.2414,0.6481,0.8885,2.1260,44.9225,0.5473
173,17.8642,2.4523,-0.9915,39.3398,55.5589,8.2459
174,15.5086,0.4501,0.6242,4.1103,43.2841,2.3271
175,17.6915,1.4824,-0.4801,16.8660,48.6280,6.1398
176,14.0439,-0.6764,0.0124,0.8421,53.2731,1.7252
177,19.2845,-1.2422,0.8068,0.7214,47.9859,-0.3877
178,19.8827,0.6562,-1.2143,19.1785,57.2717,5.5446
179,17.7992,0.9449,4.5620,6.8762,47.5354,4.2303
180,20.0691,0.7039,-1.2288,0.4232,48.8753,0.2599
181,15.2196,4.1765,2.8622,-0.1195,51.7816,-0.2211
182,15.9726,-0.9388,3.7418,2.5582,45.0509,0.5512
183,15.5170,-0.3779,0.6990,11.1987,53.4937,3.3881
184,13.8461,2.2719,-0.0326,15.6601,55.3203,6.6563
185,15.3198,0.3561,-0.8309,11.1909,44.8800,5.1259
186,19.1293,0.6379,-1.1438,2.6487,58.8811,5.5694
187,18.1185,4.4696,-0.7282,3.0228,42.3334,5.3426
188,15.8263,0.4973,1.6516,9.5605,43.8088,4.5426
189,18.6456,0.0938,-0.9470,2.1661,57.4346,1.3634
190,17.9643,2.9869,0.7341,12.2265,47.5382,8.8804
191,15.8292,1.7175,0.5467,5.8559,48.7881,1.9464
192,16.1871,-0.2248,0.3861,1.0642,45.0985,-0.8840
193,14.9572,1.9794,2.3960,6.1794,52.2205,6.8813
194,14.0201,-0.9663,0.5812,0.5782,46.0265,-0.8066
195,14.0597,0.6561,-0.9422,19.3007,36.7095,4.9439
196,16.5059,3.8827,1.6747,11.3504,45.7555,8.7437
197,14.7379,0.1193,-0.2223,0.2312,42.7867,2.4543
198,16.0706,1.8423,1.0031,5.6414,40.5749,4.8228
199,17.5365,-0.7588,0.6546,-0.0533,63.5977,-0.9166
200,16.0976,-0.0318,1.5978,10.5137,46.1596,4.5638
201,16.5739,1.5182,2.9035,2.6626,49.8237,8.3114
202,15.7250,0.2959,0.0442,1.7746,44.0513,3.4826
203,19.7855,4.1883,1.0114,20.5959,52.9276,10.0345
204,20.0012,0.3714,0.9776,0.1164,46.6961,2.0651
205,17.0013,1.3498,1.4907,66.3673,47.1453,8.8785
206,16.4627,-0.4494,0.7476,1.3182,47.8682,2.4367
207,14.9326,1.2685,-0.5669,19.7745,46.1828,7.2653
208,16.2126,2.7230,2.5058,0.7262,43.4345,1.3453
209,18.8803,3.3382,0.9255,0.1954,47.6730,3.2172
210,13.3993,2.0947,0.3735,38.4553,46.1674,8.3254
211,16.5371,3.5622,2.5892,10.6807,47.2507,6.2188
212,16.3593,-1.0133,0.5672,0.5455,44.1014,-0.0808
213,15.0571,-0.0609,0.8782,3.3606,45.6135,2.0645
214,16.7225,1.7043,2.7021,37.7991,46.8057,7.4760
215,17.9571,1.3187,0.4127,32.9859,52.1162,6.1041
216,15.4171,1.7928,2.6599,25.9935,47.6476,7.7394
217,17.0822,0.8538,-0.8296,25.7179,47.5533,5.9203
218,17.4583,0.8895,-0.1098,2.6356,49.4598,1.5871
219,14.9345,2.4907,2.6345,3.4079,38.6866,5.2901
220,15.8890,3.1884,1.4517,18.7613,42.3322,10.9092
221,15.1146,0.8021,0.3266,3.6994,48.8684,-0.6994
222,13.0746,3.6734,1.9358,6.5690,39.6307,10.1479
223,17.2653,0.0383,0.2076,13.6985,65.2625,1.3913
224,15.5823,0.9400,3.1854,18.5541,43.0688,4.5939
225,18.1363,0.7764,-0.0272,4.2357,47.0219,3.8560
226,16.4072,1.7411,0.0991,47.5090,43.5277,7.1457
227,16.5005,-0.7315,0.5243,1.6812,52.1683,1.1882
228,15.0910,1.4771,-1.1850,8.0017,55.3866,6.4822
229,14.5772,4.1116,2.1661,32.5311,46.8807,12.0568
230,16.3531,-0.3344,-0.4714,-0.6822,47.1632,0.0255
231,15.3797,0.3806,0.3788,9.9353,47.4286,5.6211
232,17.5825,2.3680,-0.5054,23.1261,52.1539,11.1700
233,17.4463,-0.9827,-0.7277,3.0094,45.1729,-1.1000
234,16.9281,1.6369,-0.0572,12.0392,45.8297,5.7787
235,15.0024,2.9313,1.8444,8.9586,39.1621,3.1060
236,16.3077,0.3921,1.3445,1.0928,48.7248,2.2001
237,20.5059,0.6287,-1.0950,1.7437,52.3379,0.1727
238,16.1237,2.5723,0.5427,10.5440,43.2497,4.9066
239,15.3608,0.2897,1.7956,2.3942,52.8963,2.0374
240,15.0797,2.4531,0.0810,30.6571,47.1397,11.4856
241,15.8607,1.4497,1.0080,1.7537,61.2363,5.9017
242,17.0324,1.4403,0.1915,35.7110,51.7783,5.7160
243,19.5063,1.5153,-0.7434,15.9162,48.5510,8.5084
244,19.5472,-0.1094,0.9052,6.5916,52.0360,3.7407
245,13.7357,2.6197,-0.2938,23.3931,45.6154,8.0286
246,13.3541,-0.0040,3.1157,3.0388,37.9621,2.8736
247,18.2691,-0.4563,0.0283,0.0239,59.4055,-0.1409
248,15.5377,1.8944,0.3501,29.3722,48.3345,9.7374
249,15.8871,3.5619,0.9602,75.1936,46.2402,11.3470
250,16.5601,2.4470,0.2033,25.4577,46.1040,5.9619
251,15.0786,1.4235,-0.0206,4.4002,43.1473,3.9268
252,18.7890,1.1204,0.9012,47.0219,45.8892,7.6100
253,14.7484,4.6351,0.7702,22.6233,36.7746,17.3506
254,14.1101,2.8040,-0.2931,15.4981,43.3626,5.6844
255,15.6661,-0.6541,-0.2386,1.4147,47.0901,2.0718
256,16.6302,-0.6467,1.1746,-0.4673,45.8052,-0.1055
257,16.7124,0.5087,2.6223,-0.5793,45.2714,0.8892
258,16.4377,0.4660,2.1446,0.6727,43.1620,2.0402
259,14.4930,0.4174,1.3921,6.8070,46.1152,4.8590
260,19.0671,3.2037,0.9524,15.9415,55.1043,6.5931
261,14.8829,3.1262,1.8349,14.7764,47.6577,10.5712
262,15.4645,0.9062,-0.7212,22.4792,44.4180,4.0990
263,15.7403,-0.2036,3.1069,0.9024,52.9622,2.1914
264,14.4632,-0.0384,-0.0015,6.8184,44.5143,3.3821
265,15.9290,-0.6366,-1.0577,-1.0371,48.7572,2.5677
266,16.4242,0.3962,-0.6674,12.6490,47.1859,3.0955
267,16.2190,4.9228,0.1665,10.6829,44.7760,8.3284
268,14.8476,0.2657,0.6198,3.9790,50.4334,3.9168
269,16.4572,2.0401,0.5156,26.2915,47.2867,6.5194
270,17.9812,4.2340,2.1681,20.2134,47.7799,9.2866
271,18.4830,-0.6245,-0.1961,0.1799,54.7452,-1.2151
272,16.8925,-0.7765,1.2957,0.4623,56.8226,0.1068
273,17.4176,2.9484,2.2117,5.9756,47.4260,6.6944
