step,n_seeds,ce,ce_lo,ce_hi,kl_channel,kl_channel_lo,kl_channel_hi,kl_noise,kl_noise_lo,kl_noise_hi,expected_ll,expected_ll_lo,expected_ll_hi,neg_ell
1,5,3021.21,2782.7,3178.69,154.065,136.201,194.188,2.08778,0.782976,3.30124,-1.112e+07,-1.54337e+07,-7.75556e+06,1.112e+07
500,5,591.678,405.346,734.543,434.697,423.088,444.57,0.194631,0.168004,0.202033,-230715,-366427,-153014,230715
1000,5,525.571,392.87,796.668,487.781,455.372,500.716,0.0122526,0.00941819,0.0152735,-136123,-211145,-94407.9,136123
1500,5,608.394,511.736,758.727,294.294,290.461,298.475,6.63959,6.62776,6.6526,-12262.5,-12509.9,-12106.8,12262.5
2000,5,436.777,363.611,500.048,293.836,287.802,301.144,6.90526,6.88081,6.92043,-11978.1,-12030.5,-11945.2,11978.1
2500,5,490.32,445.361,541.574,292.933,286.856,299.982,7.10434,7.08332,7.12669,-11959.6,-12103.6,-11874.5,11959.6
3000,5,422.069,310.464,629.079,293.582,291.077,300.176,7.27321,7.25752,7.29196,-11875.8,-12071.7,-11707,11875.8
3500,5,374.772,285.806,495.506,292.925,288.628,298.917,7.41873,7.39788,7.44824,-11863.1,-12030.8,-11739.1,11863.1
4000,5,444.536,314.948,514.217,291.469,288.107,294.006,7.54184,7.53001,7.57029,-11891.1,-11979.2,-11795.2,11891.1
4500,5,368.921,231.714,529.617,293.054,290.057,294.869,7.65378,7.62495,7.68433,-11802.4,-11976.5,-11649.1,11802.4
5000,5,332.59,268.762,390.825,290.367,288.221,292.099,7.75598,7.7408,7.77719,-11771.5,-11819.2,-11716,11771.5
5500,5,460.49,342.095,551.324,289.728,287.779,292.701,7.8473,7.8093,7.88334,-11902.6,-11992.8,-11671.5,11902.6
6000,5,512.507,428.885,591.214,290.212,289.136,292.631,7.91965,7.89267,7.93383,-11945.4,-12014.2,-11883.5,11945.4
6500,5,483.988,399.799,586.448,289.119,287.043,290.707,7.98287,7.95905,8.01309,-11943.2,-12085.1,-11872.8,11943.2
7000,5,464.647,234.104,655.609,292.303,289.884,298.028,8.04388,8.02329,8.07942,-11876.3,-12085.6,-11654.9,11876.3
7500,5,515.167,390.132,740.935,289.207,286.38,291.648,8.108,8.09264,8.12179,-11934.6,-12266.7,-11784.2,11934.6
8000,5,433.717,373.225,524.475,291.351,288.217,296.34,8.17472,8.16753,8.18939,-11877.5,-12029.3,-11771.8,11877.5
8500,5,474.164,374.897,615.254,290.632,288.041,294.328,8.22829,8.18242,8.26218,-11913,-12054.9,-11765.7,11913
9000,5,498.88,422.999,568.918,289.694,288.716,291.478,8.27384,8.24084,8.29309,-11927.2,-12015.1,-11791.7,11927.2
9500,5,456.013,319.313,594.796,290.167,287.07,292.671,8.30076,8.26321,8.32492,-11886.4,-12015.9,-11718.2,11886.4
10000,5,436.731,318.37,489.611,290.573,288.982,292.011,8.33136,8.26879,8.3673,-11841.1,-11967.6,-11710.7,11841.1
10500,5,484.881,397.874,639.623,290.117,287.934,291.692,8.36183,8.28743,8.41238,-11922.1,-12052,-11826.4,11922.1
11000,5,424.941,337.219,547.485,291.141,289.677,294.037,8.39203,8.32968,8.42755,-11852.2,-11984.3,-11773.1,11852.2
11500,5,429.111,361.432,498.562,288.259,287.509,289.207,8.4282,8.36609,8.46434,-11880.3,-11970.4,-11756.5,11880.3
12000,5,538.39,362.899,636.272,290.252,287.436,293.026,8.45909,8.40798,8.50068,-12026.6,-12174.9,-11844.6,12026.6
12500,5,483.419,401.51,556.149,289.651,288.202,290.533,8.47591,8.43371,8.53142,-11923.8,-12021,-11801.3,11923.8
13000,5,391.219,279.571,509.575,291.188,287.32,293.275,8.49444,8.45961,8.53413,-11778.9,-11925.5,-11676.7,11778.9
13500,5,429.98,286.183,562.407,290.021,287.4,292.474,8.52593,8.48401,8.57011,-11833,-12039.2,-11707.9,11833
14000,5,498.811,361.056,605.687,289.647,287.278,292.392,8.54571,8.5136,8.59622,-11952.1,-12104.3,-11762.5,11952.1
14500,5,485.279,360.625,569.775,290.076,288.432,291.48,8.56056,8.5427,8.60227,-11893.6,-11971.8,-11793.2,11893.6
15000,5,542.666,382.93,654.216,290.331,288.977,291.429,8.56207,8.51333,8.61938,-11964.3,-12081,-11815.4,11964.3
15500,5,392.28,300.019,456.146,289.854,287.826,292.758,8.57066,8.50566,8.62039,-11855.6,-11903,-11817.6,11855.6
16000,5,475.02,308.898,653.987,290.686,287.91,292.685,8.5758,8.50224,8.64586,-11929.7,-12113.6,-11703.9,11929.7
16500,5,436.933,297.217,674.369,290.057,288.242,291.609,8.60489,8.54071,8.6587,-11857.7,-12116.9,-11743.7,11857.7
17000,5,396.168,314.093,457,290.669,289.606,291.992,8.6233,8.55827,8.68445,-11854.6,-12019.5,-11721.5,11854.6
