config,init,step,n_seeds,coded_ber_mean,info_ber_mean,grad_coded_mean,grad_info_mean
16QAM-K1824,rand,1,5,0.48986431360244753,0.48878838419914244,9.947611236572266,7.922516536712647
16QAM-K1824,rand,25,5,0.274862939119339,0.3193530738353729,6.0383881568908695,5.000435733795166
16QAM-K1824,rand,50,5,0.19245476722717286,0.25757949948310854,3.257515811920166,2.9843776702880858
16QAM-K1824,rand,75,5,0.16051946580410004,0.23645833432674407,2.0850833892822265,1.928695011138916
16QAM-K1824,rand,100,5,0.1286458343267441,0.21615954041481017,1.5651066541671752,1.4996599674224853
16QAM-K1824,rand,125,5,0.0983415573835373,0.20215186476707458,1.2591434955596923,1.6525684118270874
16QAM-K1824,rand,150,5,0.07177220433950424,0.19557291865348816,1.0364380121231078,2.101810073852539
16QAM-K1824,rand,175,5,0.04986979216337204,0.19379111826419831,0.8572063565254211,2.091320848464966
16QAM-K1824,rand,200,5,0.03372395858168602,0.19450384080410005,0.7068558096885681,1.6214558601379394
16QAM-K1824,rand,225,5,0.022443804889917374,0.1961074560880661,0.5819494962692261,1.201464796066284
16QAM-K1824,rand,250,5,0.015165844559669494,0.19713541567325593,0.4817482590675354,0.9032599210739136
16QAM-K1824,rand,275,5,0.010656524263322354,0.1978481411933899,0.40328229665756227,0.6917847990989685
16QAM-K1824,rand,300,5,0.007881030719727278,0.19823191165924073,0.34244513511657715,0.540743887424469
16QAM-K1824,rand,325,5,0.0060923794284462925,0.19842379689216613,0.29504790902137756,0.4459577023983002
16QAM-K1824,rand,350,5,0.004913651384413242,0.19876644909381866,0.2575397968292236,0.37534051537513735
16QAM-K1824,rand,375,5,0.004098136024549603,0.1989857465028763,0.22738071382045746,0.3169750809669495
16QAM-K1824,rand,400,5,0.0037006579339504244,0.1991502195596695,0.20274144411087036,0.27878597378730774
16QAM-K1824,rand,425,5,0.003412829013541341,0.1991913378238678,0.18232955038547516,0.24311425387859345
16QAM-K1824,rand,450,5,0.0031455592717975376,0.1993146926164627,0.16517488062381744,0.21976961195468903
16QAM-K1824,rand,475,5,0.0029468202497810124,0.19938322603702546,0.1505666494369507,0.1976788967847824
16QAM-K1824,rand,500,5,0.002754934225231409,0.199355810880661,0.1379911869764328,0.17521515786647796
16QAM-K1824,rand,525,5,0.0026247259229421616,0.19942434132099152,0.12706074714660645,0.1587634950876236
16QAM-K1824,rand,550,5,0.0025836074724793433,0.19949287474155425,0.11748924255371093,0.14331009685993196
16QAM-K1824,rand,575,5,0.0025013705715537073,0.19953399300575256,0.10904001891613006,0.1301331639289856
16QAM-K1824,rand,600,5,0.002405427675694227,0.19956140518188475,0.10154063254594803,0.12032258957624435
16QAM-K1824,rand,625,5,0.002350603067316115,0.19960252344608306,0.09484864622354508,0.1112426057457924
16QAM-K1824,rand,650,5,0.0022820724407210946,0.19969846904277802,0.08884146362543106,0.10418070256710052
16QAM-K1824,rand,675,5,0.002240953966975212,0.19972588121891022,0.08342387974262237,0.09739513397216797
16QAM-K1824,rand,700,5,0.002213541674427688,0.19976699948310853,0.07851788103580475,0.09177633225917817
16QAM-K1824,rand,725,5,0.0022203947883099318,0.1997807055711746,0.07405791878700256,0.0841736376285553
16QAM-K1824,rand,750,5,0.0022066886071115733,0.19983552992343903,0.06998855471611024,0.07958214282989502
16QAM-K1824,rand,775,5,0.0021792763378471135,0.19983552992343903,0.06626318842172622,0.0752936914563179
16QAM-K1824,rand,800,5,0.0021381579339504243,0.19990406036376954,0.06284208595752716,0.0711891695857048
16QAM-K1824,rand,825,5,0.0021450110245496033,0.19993147253990173,0.05969127416610718,0.06644623726606369
16QAM-K1824,rand,850,5,0.002117598708719015,0.19994517862796785,0.056781670451164244,0.06297944858670235
16QAM-K1824,rand,875,5,0.002110745618119836,0.19997259080410004,0.05408870726823807,0.06001751497387886
16QAM-K1824,rand,900,5,0.0021038925508037208,0.19997259080410004,0.0515909418463707,0.0566401369869709
16QAM-K1824,rand,925,5,0.0020970394602045418,0.19998629689216613,0.049269041419029234,0.05369596406817436
16QAM-K1824,rand,950,5,0.0020901863696053623,0.20001370906829835,0.04710606187582016,0.05191726237535477
16QAM-K1824,rand,975,5,0.0020833332790061833,0.20001370906829835,0.04508709907531738,0.04943385273218155
16QAM-K1824,rand,1000,5,0.0020627741236239673,0.20001370906829835,0.043198847025632856,0.04666767120361328
16QAM-K1824,rand,1025,5,0.0020422149216756226,0.20001370906829835,0.04142967611551285,0.044591765850782394
16QAM-K1824,rand,1050,5,0.002035361831076443,0.20004112124443055,0.039769472926855086,0.043170828372240067
16QAM-K1824,rand,1075,5,0.0020353618776425718,0.20009594559669494,0.03820912390947342,0.04152693971991539
16QAM-K1824,rand,1100,5,0.0020285087637603285,0.20012335777282714,0.03674042224884033,0.039375068992376326
16QAM-K1824,rand,1125,5,0.002035361831076443,0.20013706386089325,0.03535593897104263,0.037918999791145325
16QAM-K1824,rand,1150,5,0.002042214898392558,0.20013706386089325,0.034049132466316225,0.0364850752055645
16QAM-K1824,rand,1175,5,0.0020490679889917374,0.20015076994895936,0.03281412571668625,0.035194626450538634
16QAM-K1824,rand,1200,5,0.0020490679889917374,0.20021930038928987,0.03164568692445755,0.0339736819267273
16QAM-K1824,rand,1225,5,0.002062774170190096,0.20021930038928987,0.030538994818925858,0.03245221972465515
16QAM-K1824,rand,1250,5,0.002055921079590917,0.20020559430122375,0.029489678889513017,0.03141338266432285
16QAM-K1824,rand,1275,5,0.002055921079590917,0.20023300647735595,0.028493720293045043,0.030506065487861632
16QAM-K1824,rand,1300,5,0.002055921079590917,0.20024671256542206,0.027547430619597434,0.02933492511510849
16QAM-K1824,rand,1325,5,0.0020422149216756226,0.20026041865348815,0.0266471441835165,0.02852577231824398
16QAM-K1824,rand,1350,5,0.0020285087404772638,0.20031524300575257,0.02578958123922348,0.027547020465135574
16QAM-K1824,rand,1375,5,0.0020216556964442133,0.20032894909381865,0.02497219108045101,0.02670659199357033
16QAM-K1824,rand,1400,5,0.0020216556964442133,0.20031524300575257,0.024192537739872934,0.025841211155056953
16QAM-K1824,rand,1425,5,0.0020216556964442133,0.20035636126995088,0.02344842255115509,0.024913281947374345
16QAM-K1824,rand,1450,5,0.0020148026058450343,0.20035636126995088,0.022737625613808633,0.02418138422071934
16QAM-K1824,rand,1475,5,0.0020079495618119834,0.20037006735801696,0.022058108076453208,0.023233353346586227
16QAM-K1824,rand,1500,5,0.0020079495618119834,0.20037006735801696,0.021407943964004517,0.022665293887257576
16QAM-K1824,warm,1,5,0.30010964870452883,0.30124726295471194,9.137391471862793,7.405141067504883
16QAM-K1824,warm,25,5,0.14640214145183564,0.1893640339374542,5.340372085571289,4.4244989395141605
16QAM-K1824,warm,50,5,0.11926397979259491,0.18562225997447968,2.9224148273468016,2.5676669120788573
16QAM-K1824,warm,75,5,0.08988487124443054,0.17116228342056275,1.7897700309753417,1.6909907102584838
16QAM-K1824,warm,100,5,0.08064692914485931,0.16207511126995086,1.265714693069458,1.4333524227142334
16QAM-K1824,warm,125,5,0.06258909106254577,0.1526589959859848,1.0048114776611328,1.8731165885925294
16QAM-K1824,warm,150,5,0.043558114767074586,0.1481633812189102,0.8362864851951599,2.2060048580169678
16QAM-K1824,warm,175,5,0.029125548526644708,0.1476014256477356,0.6976127743721008,1.8410177946090698
16QAM-K1824,warm,200,5,0.018201754614710807,0.14891721606254577,0.5720296382904053,1.3568610191345214
16QAM-K1824,warm,225,5,0.01158854179084301,0.15038377344608306,0.4669029176235199,0.9813695907592773
16QAM-K1824,warm,250,5,0.007983826752752065,0.1509320169687271,0.3858876943588257,0.739956259727478
16QAM-K1824,warm,275,5,0.0059553180821239945,0.15182291567325593,0.32471699118614195,0.5825240731239318
16QAM-K1824,warm,300,5,0.004838267527520657,0.1523163378238678,0.27805691957473755,0.4664795160293579
16QAM-K1824,warm,325,5,0.003974780673161149,0.15252192914485932,0.24173262417316438,0.3831043720245361
16QAM-K1824,warm,350,5,0.0034950658213347197,0.15275493562221526,0.21277884840965272,0.3190293610095978
16QAM-K1824,warm,375,5,0.003131853090599179,0.15293311476707458,0.18924709856510163,0.27593526244163513
16QAM-K1824,warm,400,5,0.002878289530053735,0.1530427634716034,0.16977895200252532,0.24039729833602905
16QAM-K1824,warm,425,5,0.0027001097332686186,0.15323465168476105,0.15343681573867798,0.21369574666023256
16QAM-K1824,warm,450,5,0.0025904604699462652,0.15334430038928987,0.13955574631690978,0.1893734186887741
16QAM-K1824,warm,475,5,0.0024396929889917373,0.15345394909381865,0.12764004468917847,0.170249080657959
16QAM-K1824,warm,500,5,0.0023368969559669495,0.1535361886024475,0.11730844229459762,0.15496304929256438
16QAM-K1824,warm,525,5,0.0022135416511446238,0.153604719042778,0.10827242881059647,0.14032197296619414
