cond,snr_db,n_seeds,mean_diff_AINR_minus_Disc,ci_lo,ci_hi,n_ainr_better,n_disc_better,p_raw,p_holm
DS200,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
DS300,5.0,5,-0.00020833333333333332,-0.0007867593969162069,0.0003700927302495402,1,0,0.37390096630005887,1.0
DS600,5.0,5,-0.09541666666666665,-0.2286450284569139,0.037811695123580596,3,2,0.11765774660288007,1.0
DS1000,5.0,5,-0.21270833333333333,-0.5119975715226974,0.08658090485603076,4,1,0.11972282697531522,1.0
CDLA,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
CDLB,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
CDLD,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
CDLE,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
S2,5.0,5,-0.25166666666666665,-0.6539947395382476,0.1506614062049143,3,2,0.15743710989009105,1.0
V30,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
V90,5.0,5,0.0,0.0,0.0,0,0,1.0,1.0
V150,5.0,5,-0.0016666666666666663,-0.00907413456124742,0.005740801227914086,3,2,0.5660371777000415,1.0
V250,5.0,5,-0.0014583333333333503,-0.007701584636558738,0.004784917969892037,3,2,0.5519888793365748,1.0
V400,5.0,5,0.000416666666666643,-0.005191382088203951,0.006024715421537237,2,3,0.8466432357935952,1.0
