receiver,snr_db,n_seeds,bler_mean,ci_lo,ci_hi
AINR,0.0,5,0.9987999999999999,0.9965788439158417,1.0010211560841582
DiscNRX,0.0,5,0.9987999999999999,0.9954682658737626,1.0021317341262372
LS-LIN,0.0,1,1.0,nan,nan
LS-LMMSE,0.0,1,0.99,nan,nan
PCSI,0.0,1,0.948,nan,nan
AINR,5.0,5,0.126,0.11739749947672788,0.13460250052327213
DiscNRX,5.0,5,0.1316,0.12470904446969731,0.13849095553030266
LS-LIN,5.0,1,0.228,nan,nan
LS-LMMSE,5.0,1,0.154,nan,nan
PCSI,5.0,1,0.0,nan,nan
AINR,10.0,5,0.0848,0.07389030173660108,0.09570969826339892
DiscNRX,10.0,5,0.096,0.08834586906249027,0.10365413093750973
LS-LIN,10.0,1,0.0,nan,nan
LS-LMMSE,10.0,1,0.11,nan,nan
PCSI,10.0,1,0.0,nan,nan
AINR,15.0,5,0.0612,0.04573143781780713,0.07666856218219287
DiscNRX,15.0,5,0.07680000000000001,0.07108294961802596,0.08251705038197406
LS-LIN,15.0,1,0.0,nan,nan
LS-LMMSE,15.0,1,0.094,nan,nan
PCSI,15.0,1,0.0,nan,nan
AINR,20.0,5,0.0524,0.041377827647259995,0.06342217235274
DiscNRX,20.0,5,0.0684,0.05533004870416735,0.08146995129583266
LS-LIN,20.0,1,0.0,nan,nan
LS-LMMSE,20.0,1,0.092,nan,nan
PCSI,20.0,1,0.0,nan,nan
AINR,25.0,5,0.0508,0.03553207617104977,0.06606792382895023
DiscNRX,25.0,5,0.06720000000000001,0.05446461850737877,0.07993538149262125
LS-LIN,25.0,1,0.0,nan,nan
LS-LMMSE,25.0,1,0.09,nan,nan
PCSI,25.0,1,0.0,nan,nan
