seed,variant,snr_db,bler,n_blocks
1,full,0.0,1.0,1280
1,full,1.0,0.24140625,1280
1,full,3.0,0.0,1280
1,full,5.0,0.0,1280
1,no_pilot,0.0,1.0,1280
1,no_pilot,1.0,1.0,1280
1,no_pilot,3.0,1.0,1280
1,no_pilot,5.0,1.0,1280
1,pure_vfe,0.0,1.0,1280
1,pure_vfe,1.0,1.0,1280
1,pure_vfe,3.0,0.0859375,1280
1,pure_vfe,5.0,0.00234375,1280
1,no_detach,0.0,1.0,1280
1,no_detach,1.0,0.99921875,1280
1,no_detach,3.0,0.13515625,1280
1,no_detach,5.0,0.00546875,1280
1,no_freeze,0.0,1.0,1280
1,no_freeze,1.0,0.24609375,1280
1,no_freeze,3.0,0.0,1280
1,no_freeze,5.0,0.0,1280
