seed,variant,cond,snr_db,bler,n_blocks
2,full,S1,5.0,0.0,1280
2,full,DS600,5.0,0.00078125,1280
2,full,DS1000,5.0,0.00078125,1280
2,full,S2,5.0,0.01171875,1280
2,full,V250,5.0,0.384375,1280
2,no_detach,S1,5.0,0.009375,1280
2,no_detach,DS600,5.0,0.0296875,1280
2,no_detach,DS1000,5.0,0.03671875,1280
2,no_detach,S2,5.0,0.05234375,1280
2,no_detach,V250,5.0,0.4171875,1280
2,pure_vfe,S1,5.0,0.00078125,1280
2,pure_vfe,DS600,5.0,0.92734375,1280
2,pure_vfe,DS1000,5.0,1.0,1280
2,pure_vfe,S2,5.0,1.0,1280
2,pure_vfe,V250,5.0,0.4375,1280
