receiver,snr_db,block_errors,n_blocks,bler
Broad,-1.0,1280,1280,1.0
DiscNRX,-1.0,1280,1280,1.0
AINR,-1.0,1280,1280,1.0
Broad,-0.9,1280,1280,1.0
DiscNRX,-0.9,1280,1280,1.0
AINR,-0.9,1280,1280,1.0
Broad,-0.8,1280,1280,1.0
DiscNRX,-0.8,1280,1280,1.0
AINR,-0.8,1280,1280,1.0
Broad,-0.7,1280,1280,1.0
DiscNRX,-0.7,1280,1280,1.0
AINR,-0.7,1280,1280,1.0
Broad,-0.6,1280,1280,1.0
DiscNRX,-0.6,1280,1280,1.0
AINR,-0.6,1280,1280,1.0
Broad,-0.5,1280,1280,1.0
DiscNRX,-0.5,1280,1280,1.0
AINR,-0.5,1280,1280,1.0
Broad,-0.4,1280,1280,1.0
DiscNRX,-0.4,1280,1280,1.0
AINR,-0.4,1280,1280,1.0
Broad,-0.3,1280,1280,1.0
DiscNRX,-0.3,1279,1280,0.99921875
AINR,-0.3,1279,1280,0.99921875
Broad,-0.2,1280,1280,1.0
DiscNRX,-0.2,1280,1280,1.0
AINR,-0.2,1280,1280,1.0
Broad,-0.1,1280,1280,1.0
DiscNRX,-0.1,1278,1280,0.9984375
AINR,-0.1,1278,1280,0.9984375
Broad,-0.0,1279,1280,0.99921875
DiscNRX,-0.0,1271,1280,0.99296875
AINR,-0.0,1276,1280,0.996875
Broad,0.1,1278,1280,0.9984375
DiscNRX,0.1,1247,1280,0.97421875
AINR,0.1,1258,1280,0.9828125
Broad,0.2,1262,1280,0.9859375
DiscNRX,0.2,1202,1280,0.9390625
AINR,0.2,1214,1280,0.9484375
Broad,0.3,1234,1280,0.9640625
DiscNRX,0.3,1094,1280,0.8546875
AINR,0.3,1108,1280,0.865625
Broad,0.4,1175,1280,0.91796875
DiscNRX,0.4,934,1280,0.7296875
AINR,0.4,962,1280,0.7515625
Broad,0.5,1087,1280,0.84921875
DiscNRX,0.5,773,1280,0.60390625
AINR,0.5,809,1280,0.63203125
Broad,0.6,928,1280,0.725
DiscNRX,0.6,490,1280,0.3828125
AINR,0.6,539,1280,0.42109375
Broad,0.7,778,1280,0.6078125
DiscNRX,0.7,326,1280,0.2546875
AINR,0.7,361,1280,0.28203125
Broad,0.8,563,1280,0.43984375
DiscNRX,0.8,193,1280,0.15078125
AINR,0.8,217,1280,0.16953125
Broad,0.9,393,1280,0.30703125
DiscNRX,0.9,97,1280,0.07578125
AINR,0.9,115,1280,0.08984375
Broad,1.0,307,1280,0.23984375
DiscNRX,1.0,43,1280,0.03359375
AINR,1.0,44,1280,0.034375
Broad,1.1,175,1280,0.13671875
DiscNRX,1.1,12,1280,0.009375
AINR,1.1,26,1280,0.0203125
Broad,1.2,96,1280,0.075
DiscNRX,1.2,9,1280,0.00703125
AINR,1.2,10,1280,0.0078125
Broad,1.3,81,1280,0.06328125
DiscNRX,1.3,6,1280,0.0046875
AINR,1.3,4,1280,0.003125
Broad,1.4,46,1280,0.0359375
DiscNRX,1.4,0,1280,0.0
AINR,1.4,1,1280,0.00078125
Broad,1.5,34,1280,0.0265625
DiscNRX,1.5,0,1280,0.0
AINR,1.5,0,1280,0.0
Broad,1.6,25,1280,0.01953125
DiscNRX,1.6,0,1280,0.0
AINR,1.6,0,1280,0.0
Broad,1.7,20,1280,0.015625
DiscNRX,1.7,1,1280,0.00078125
AINR,1.7,1,1280,0.00078125
Broad,1.8,21,1280,0.01640625
DiscNRX,1.8,0,1280,0.0
AINR,1.8,0,1280,0.0
Broad,1.9,14,1280,0.0109375
DiscNRX,1.9,0,1280,0.0
AINR,1.9,0,1280,0.0
Broad,2.0,6,1280,0.0046875
DiscNRX,2.0,0,1280,0.0
AINR,2.0,0,1280,0.0
Broad,2.1,3,1280,0.00234375
DiscNRX,2.1,1,1280,0.00078125
AINR,2.1,0,1280,0.0
Broad,2.2,6,1280,0.0046875
DiscNRX,2.2,0,1280,0.0
AINR,2.2,0,1280,0.0
Broad,2.3,3,1280,0.00234375
DiscNRX,2.3,0,1280,0.0
AINR,2.3,0,1280,0.0
Broad,2.4,2,1280,0.0015625
DiscNRX,2.4,0,1280,0.0
AINR,2.4,0,1280,0.0
Broad,2.5,0,1280,0.0
DiscNRX,2.5,0,1280,0.0
AINR,2.5,0,1280,0.0
Broad,2.75,1,1280,0.00078125
DiscNRX,2.75,0,1280,0.0
AINR,2.75,0,1280,0.0
Broad,3.0,0,1280,0.0
DiscNRX,3.0,0,1280,0.0
AINR,3.0,0,1280,0.0
Broad,3.25,0,1280,0.0
DiscNRX,3.25,0,1280,0.0
AINR,3.25,0,1280,0.0
Broad,3.5,1,1280,0.00078125
DiscNRX,3.5,0,1280,0.0
AINR,3.5,0,1280,0.0
Broad,3.75,1,1280,0.00078125
DiscNRX,3.75,0,1280,0.0
AINR,3.75,0,1280,0.0
Broad,4.0,0,1280,0.0
DiscNRX,4.0,0,1280,0.0
AINR,4.0,0,1280,0.0
Broad,4.25,0,1280,0.0
DiscNRX,4.25,0,1280,0.0
AINR,4.25,0,1280,0.0
Broad,4.5,1,1280,0.00078125
DiscNRX,4.5,0,1280,0.0
AINR,4.5,0,1280,0.0
Broad,4.75,0,1280,0.0
DiscNRX,4.75,0,1280,0.0
AINR,4.75,0,1280,0.0
Broad,5.0,0,1280,0.0
DiscNRX,5.0,0,1280,0.0
AINR,5.0,0,1280,0.0
