seed,receiver,step,cond,snr_db,block_errors,n_blocks,bler
2,AINR,12000,S1,5.0,0,960,0.0
2,AINR,12000,DS600,5.0,0,960,0.0
2,AINR,12000,DS1000,5.0,1,960,0.0010416666666666667
2,AINR,12000,S2,5.0,2,960,0.0020833333333333333
2,AINR,12000,V250,5.0,383,960,0.39895833333333336
2,AINR,25000,S1,5.0,0,960,0.0
2,AINR,25000,DS600,5.0,12,960,0.0125
2,AINR,25000,DS1000,5.0,52,960,0.05416666666666667
2,AINR,25000,S2,5.0,87,960,0.090625
2,AINR,25000,V250,5.0,391,960,0.40729166666666666
2,AINR,50000,S1,5.0,0,960,0.0
2,AINR,50000,DS600,5.0,80,960,0.08333333333333333
2,AINR,50000,DS1000,5.0,256,960,0.26666666666666666
2,AINR,50000,S2,5.0,346,960,0.36041666666666666
2,AINR,50000,V250,5.0,353,960,0.36770833333333336
2,DiscNRX,12000,S1,5.0,0,960,0.0
2,DiscNRX,12000,DS600,5.0,0,960,0.0
2,DiscNRX,12000,DS1000,5.0,1,960,0.0010416666666666667
2,DiscNRX,12000,S2,5.0,11,960,0.011458333333333333
2,DiscNRX,12000,V250,5.0,374,960,0.38958333333333334
2,DiscNRX,25000,S1,5.0,0,960,0.0
2,DiscNRX,25000,DS600,5.0,73,960,0.07604166666666666
2,DiscNRX,25000,DS1000,5.0,285,960,0.296875
2,DiscNRX,25000,S2,5.0,480,960,0.5
2,DiscNRX,25000,V250,5.0,404,960,0.42083333333333334
2,DiscNRX,50000,S1,5.0,0,960,0.0
2,DiscNRX,50000,DS600,5.0,299,960,0.31145833333333334
2,DiscNRX,50000,DS1000,5.0,695,960,0.7239583333333334
2,DiscNRX,50000,S2,5.0,944,960,0.9833333333333333
2,DiscNRX,50000,V250,5.0,377,960,0.3927083333333333
