seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
4,AINR,S1,16,-1.0,1280,1280,1.0
4,DiscNRX,S1,16,-1.0,1280,1280,1.0
4,AINR,S1,16,-0.5,1280,1280,1.0
4,DiscNRX,S1,16,-0.5,1280,1280,1.0
4,AINR,S1,16,0.0,1271,1280,0.99296875
4,DiscNRX,S1,16,0.0,1271,1280,0.99296875
4,AINR,S1,16,0.1,1259,1280,0.98359375
4,DiscNRX,S1,16,0.1,1259,1280,0.98359375
4,AINR,S1,16,0.2,1211,1280,0.94609375
4,DiscNRX,S1,16,0.2,1188,1280,0.928125
4,AINR,S1,16,0.3,1126,1280,0.8796875
4,DiscNRX,S1,16,0.3,1100,1280,0.859375
4,AINR,S1,16,0.4,980,1280,0.765625
4,DiscNRX,S1,16,0.4,955,1280,0.74609375
4,AINR,S1,16,0.5,762,1280,0.5953125
4,DiscNRX,S1,16,0.5,736,1280,0.575
4,AINR,S1,16,0.6,562,1280,0.4390625
4,DiscNRX,S1,16,0.6,526,1280,0.4109375
4,AINR,S1,16,0.7,358,1280,0.2796875
4,DiscNRX,S1,16,0.7,321,1280,0.25078125
4,AINR,S1,16,0.8,209,1280,0.16328125
4,DiscNRX,S1,16,0.8,183,1280,0.14296875
4,AINR,S1,16,0.9,98,1280,0.0765625
4,DiscNRX,S1,16,0.9,83,1280,0.06484375
4,AINR,S1,16,1.0,56,1280,0.04375
4,DiscNRX,S1,16,1.0,49,1280,0.03828125
4,AINR,S1,16,1.1,16,1280,0.0125
4,DiscNRX,S1,16,1.1,20,1280,0.015625
4,AINR,S1,16,1.2,8,1280,0.00625
4,DiscNRX,S1,16,1.2,9,1280,0.00703125
4,AINR,S1,16,1.3,4,1280,0.003125
4,DiscNRX,S1,16,1.3,2,1280,0.0015625
4,AINR,S1,16,1.4,0,1280,0.0
4,DiscNRX,S1,16,1.4,1,1280,0.00078125
4,AINR,S1,16,1.5,1,1280,0.00078125
4,DiscNRX,S1,16,1.5,3,1280,0.00234375
4,AINR,S1,16,1.6,0,1280,0.0
4,DiscNRX,S1,16,1.6,0,1280,0.0
4,AINR,S1,16,1.7,1,1280,0.00078125
4,DiscNRX,S1,16,1.7,1,1280,0.00078125
4,AINR,S1,16,1.8,0,1280,0.0
4,DiscNRX,S1,16,1.8,0,1280,0.0
4,AINR,S1,16,1.9,0,1280,0.0
4,DiscNRX,S1,16,1.9,0,1280,0.0
4,AINR,S1,16,2.0,0,1280,0.0
4,DiscNRX,S1,16,2.0,0,1280,0.0
4,AINR,S1,16,2.5,0,1280,0.0
4,DiscNRX,S1,16,2.5,0,1280,0.0
4,AINR,S1,16,3.0,0,1280,0.0
4,DiscNRX,S1,16,3.0,0,1280,0.0
4,AINR,S1,16,3.5,0,1280,0.0
4,DiscNRX,S1,16,3.5,0,1280,0.0
4,AINR,S1,16,4.0,0,1280,0.0
4,DiscNRX,S1,16,4.0,0,1280,0.0
4,AINR,S1,16,4.1,0,1280,0.0
4,DiscNRX,S1,16,4.1,0,1280,0.0
4,AINR,S1,16,4.2,0,1280,0.0
4,DiscNRX,S1,16,4.2,0,1280,0.0
4,AINR,S1,16,4.3,0,1280,0.0
4,DiscNRX,S1,16,4.3,0,1280,0.0
4,AINR,S1,16,4.4,0,1280,0.0
4,DiscNRX,S1,16,4.4,0,1280,0.0
4,AINR,S1,16,4.5,0,1280,0.0
4,DiscNRX,S1,16,4.5,0,1280,0.0
4,AINR,S1,16,4.6,0,1280,0.0
4,DiscNRX,S1,16,4.6,0,1280,0.0
4,AINR,S1,16,4.7,0,1280,0.0
4,DiscNRX,S1,16,4.7,0,1280,0.0
4,AINR,S1,16,4.8,0,1280,0.0
4,DiscNRX,S1,16,4.8,0,1280,0.0
4,AINR,S1,16,4.9,0,1280,0.0
4,DiscNRX,S1,16,4.9,0,1280,0.0
4,AINR,S1,16,5.0,0,1280,0.0
4,DiscNRX,S1,16,5.0,0,1280,0.0
4,AINR,S1,16,5.1,0,1280,0.0
4,DiscNRX,S1,16,5.1,0,1280,0.0
4,AINR,S1,16,5.2,0,1280,0.0
4,DiscNRX,S1,16,5.2,0,1280,0.0
4,AINR,S1,16,5.3,0,1280,0.0
4,DiscNRX,S1,16,5.3,0,1280,0.0
4,AINR,S1,16,5.4,0,1280,0.0
4,DiscNRX,S1,16,5.4,0,1280,0.0
4,AINR,S1,16,5.5,0,1280,0.0
4,DiscNRX,S1,16,5.5,0,1280,0.0
4,AINR,S1,16,5.6,0,1280,0.0
4,DiscNRX,S1,16,5.6,0,1280,0.0
4,AINR,S1,16,5.7,0,1280,0.0
4,DiscNRX,S1,16,5.7,0,1280,0.0
4,AINR,S1,16,5.8,0,1280,0.0
4,DiscNRX,S1,16,5.8,0,1280,0.0
4,AINR,S1,16,5.9,0,1280,0.0
4,DiscNRX,S1,16,5.9,0,1280,0.0
4,AINR,S1,16,6.0,0,1280,0.0
4,DiscNRX,S1,16,6.0,0,1280,0.0
