seed,receiver,cond,qam,snr_db,block_errors,n_blocks,bler
-1,LS-LIN,S1,64,3.0,1280,1280,1.0
-1,LS-LMMSE,S1,64,3.0,1280,1280,1.0
-1,PCSI,S1,64,3.0,1280,1280,1.0
-1,LS-LIN,S1,64,3.5,1280,1280,1.0
-1,LS-LMMSE,S1,64,3.5,1280,1280,1.0
-1,PCSI,S1,64,3.5,1280,1280,1.0
-1,LS-LIN,S1,64,4.0,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.0,1280,1280,1.0
-1,PCSI,S1,64,4.0,1279,1280,0.99921875
-1,LS-LIN,S1,64,4.1,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.1,1280,1280,1.0
-1,PCSI,S1,64,4.1,1279,1280,0.99921875
-1,LS-LIN,S1,64,4.2,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.2,1280,1280,1.0
-1,PCSI,S1,64,4.2,1275,1280,0.99609375
-1,LS-LIN,S1,64,4.3,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.3,1280,1280,1.0
-1,PCSI,S1,64,4.3,1252,1280,0.978125
-1,LS-LIN,S1,64,4.4,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.4,1278,1280,0.9984375
-1,PCSI,S1,64,4.4,1197,1280,0.93515625
-1,LS-LIN,S1,64,4.5,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.5,1275,1280,0.99609375
-1,PCSI,S1,64,4.5,1110,1280,0.8671875
-1,LS-LIN,S1,64,4.6,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.6,1265,1280,0.98828125
-1,PCSI,S1,64,4.6,956,1280,0.746875
-1,LS-LIN,S1,64,4.7,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.7,1230,1280,0.9609375
-1,PCSI,S1,64,4.7,690,1280,0.5390625
-1,LS-LIN,S1,64,4.8,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.8,1157,1280,0.90390625
-1,PCSI,S1,64,4.8,478,1280,0.3734375
-1,LS-LIN,S1,64,4.9,1280,1280,1.0
-1,LS-LMMSE,S1,64,4.9,1087,1280,0.84921875
-1,PCSI,S1,64,4.9,271,1280,0.21171875
-1,LS-LIN,S1,64,5.0,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.0,899,1280,0.70234375
-1,PCSI,S1,64,5.0,126,1280,0.0984375
-1,LS-LIN,S1,64,5.1,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.1,757,1280,0.59140625
-1,PCSI,S1,64,5.1,37,1280,0.02890625
-1,LS-LIN,S1,64,5.2,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.2,564,1280,0.440625
-1,PCSI,S1,64,5.2,32,1280,0.025
-1,LS-LIN,S1,64,5.3,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.3,381,1280,0.29765625
-1,PCSI,S1,64,5.3,7,1280,0.00546875
-1,LS-LIN,S1,64,5.4,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.4,259,1280,0.20234375
-1,PCSI,S1,64,5.4,2,1280,0.0015625
-1,LS-LIN,S1,64,5.5,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.5,170,1280,0.1328125
-1,PCSI,S1,64,5.5,1,1280,0.00078125
-1,LS-LIN,S1,64,5.6,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.6,79,1280,0.06171875
-1,PCSI,S1,64,5.6,0,1280,0.0
-1,LS-LIN,S1,64,5.7,1280,1280,1.0
-1,LS-LMMSE,S1,64,5.7,37,1280,0.02890625
-1,PCSI,S1,64,5.7,0,1280,0.0
-1,LS-LIN,S1,64,5.8,1280,1280,1.0
