cond,cdl,ds_ns,speed_kmh,e_time,e_taps,e_total,e_total_db,n_slots
S1,C,100.0,3.0,2.158120879005238e-05,0.020447940966211126,0.020469522175001177,-16.888922950601295,640
DS200,C,200.0,3.0,2.2030202885789573e-05,0.05225413440262147,0.05227616460550726,-12.816962832140407,640
DS300,C,300.0,3.0,1.8347736266413152e-05,0.07006984433455038,0.07008819207081679,-11.54355142524583,640
DS600,C,600.0,3.0,2.1231997969481607e-05,0.03634527247008455,0.036366504468054034,-14.392984411281912,640
DS1000,C,1000.0,3.0,2.1181988747334288e-05,0.06991730044875125,0.06993848243749858,-11.552837954778848,640
CDLA,A,100.0,3.0,2.1405593542597608e-05,0.014706977217939496,0.014728382811482093,-18.31844936430054,640
CDLB,B,100.0,3.0,2.08792235310737e-05,0.021935165180093467,0.02195604440362454,-16.584458995779062,640
CDLD,D,100.0,3.0,1.986394278365561e-05,0.003251587450556127,0.0032714513933397825,-24.852595279901447,640
CDLE,E,100.0,3.0,2.0037421462902882e-05,0.004479710519780686,0.004499747941243589,-23.46811813067534,640
S2,A,1000.0,3.0,2.0165516781456763e-05,0.027112672202139962,0.02713283771892142,-15.66504782677024,640
V30,C,100.0,30.0,0.002065670805264762,0.020368867640407018,0.02243453844567178,-16.490828609452507,640
V90,C,100.0,90.0,0.018709589035624714,0.020131063646565736,0.038840652682190446,-14.107134807750493,640
V150,C,100.0,150.0,0.04933615366723152,0.019719378858333376,0.0690555325255649,-11.608015212986619,640
V250,C,100.0,250.0,0.12076235061179169,0.017919782112469185,0.1386821327242609,-8.579794881632045,640
V400,C,100.0,400.0,0.2754183392106633,0.014922136514037487,0.2903404757247008,-5.370924159129016,640
